feature,delta_z,ci_low,ci_high,p_value,mean_Cluster 0,mean_Cluster 1,n_Cluster 0,n_Cluster 1,adj_p_value,-log10_p,-log10_q,significant,regulation,cohort,raw_mean_A,raw_mean_B,raw_median_A,raw_median_B,raw_n_A,raw_n_B
almi,-0.37683775932696967,-0.44435708097131577,-0.30931843768262357,1.3888593736632092e-26,6.591478086593139,6.277936399960739,3047,1188,1.3888593736632092e-26,25.85734172570508,25.85734172570508,True,downregulated,unmatched,6.591478086593139,6.277936399960739,6.509523882031725,6.224769661890919,3047,1188
lean_to_fat_ratio,1.5065388104935507,1.4322469873304937,1.5808306336566076,0.0,1.4896853872904272,2.257396959972669,3054,1188,2.2250738585072014e-308,307.6526555685888,307.6526555685888,True,upregulated,unmatched,1.4896853872904272,2.257396959972669,1.4375294952194797,2.158027705584546,3054,1188
android_gynoid_fat_ratio,-0.5314971922274315,-0.5994639043358038,-0.46353048011905923,4.599191552288486e-64,0.43272908417449846,0.35994621940779264,3054,1188,6.898787328432729e-64,63.337318502065564,63.16122724300988,True,downregulated,unmatched,0.43272908417449846,0.35994621940779264,0.42250406311360034,0.33541992560673645,3054,1188
almi,0.029800407996813126,-0.07401227324576898,0.13361308923939522,0.9786064337945187,6.303288045211161,6.326983270875754,713,713,0.9786064337945187,0.009391933321357357,0.009391933321357357,False,not_significant,matched,6.303288045211161,6.326983270875754,6.263345369445731,6.235119047619048,713,713
lean_to_fat_ratio,-0.04890793882524192,-0.15273037641329817,0.05491449876281434,0.5572067557752656,1.9029983341283145,1.8872327558290043,713,713,0.8358101336628984,0.2539836266735366,0.07789236761785531,False,not_significant,matched,1.9029983341283145,1.8872327558290043,1.8713949848002032,1.8845531834988916,713,713
android_gynoid_fat_ratio,0.5825963165211129,0.47661014752818087,0.6885824855140449,2.460903730236493e-26,0.3488626428622304,0.4242095544303949,713,713,7.382711190709479e-26,25.608905375425536,25.131784120705873,True,upregulated,matched,0.3488626428622304,0.4242095544303949,0.334331608449587,0.3992740471869328,713,713
