analysis,n_cluster1,n_cluster0,mean_cluster1,std_cluster1,mean_cluster0,std_cluster0,median_cluster1,median_cluster0,mean_diff_c1_minus_c0,cliffs_delta,mannwhitney_U,p_value,n_conditions_in_panel
pre_matching,1228,3153,1.9185667752442996,1.8785141862931647,2.352362829051697,2.03627671827516,1.0,2.0,-0.4337960538073973,-0.13191536729922693,1680561.5,4.986965281089089e-12,74
post_matching,1034,1034,1.9197292069632494,1.8460437601930972,2.0483558994197293,1.7779934209838821,2.0,2.0,-0.12862669245647984,-0.054798364317274584,505284.0,0.027766876722828633,74
