system,feature,feature_type,n_clusterA,n_clusterB,mean_clusterA,mean_clusterB,effect_size,effect_ci_low,effect_ci_high,p_value,fdr_q_value,significant_at_q05
body_composition,body_comp_total_left_fat_mass,continuous,1304,1374,0.4301988173543846,-0.4082818470379319,-0.826869003785752,-0.8593007836824731,-0.7942758854756137,3.335847438255483e-116,5.575630718227022e-115,True
body_composition,body_comp_arms_fat_mass,continuous,1304,1374,0.415373286062531,-0.394211619378123,-0.7858124946288904,-0.8177813769365009,-0.7541204678688394,1.836783270743127e-110,2.6862955334618226e-109,True
body_composition,body_comp_arm_left_fat_mass,continuous,1304,1374,0.414765862151773,-0.3936351413725705,-0.7817456319532092,-0.8136440019936584,-0.7494842267551243,1.3100438605022694e-108,1.7030570186529498e-107,True
body_composition,body_comp_arm_right_fat_mass,continuous,1304,1374,0.4029500336422696,-0.3824212837478299,-0.7644585780295532,-0.7965357234282293,-0.7327019839546876,2.132608985046544e-105,2.4951525125044563e-104,True
body_composition,total_scan_sat_area,continuous,1302,1373,0.3834079837041682,-0.3635813508979074,-0.7315329685951496,-0.7659729476884403,-0.6969418595501493,1.0486538462281193e-89,1.1153863637153632e-88,True
body_composition,total_scan_sat_volume,continuous,1302,1373,0.3774368025770261,-0.3579189489841866,-0.7194741378709688,-0.7529194252741298,-0.6862874066536372,7.673451656977407e-88,7.481615365552972e-87,True
body_composition,total_scan_sat_mass,continuous,1302,1373,-0.0583848611382003,0.0553656876925978,-0.0524152685903173,-0.0550608084931532,-0.049760926034788,2.2468799664909172e-75,2.022191969841825e-74,True
body_composition,body_comp_trunk_fat_mass,continuous,1304,1374,0.318385543754427,-0.3021650284248716,-0.6374005742298283,-0.6708992817162744,-0.6032371444864846,1.9885060623854548e-67,1.6618229235649872e-66,True
body_composition,body_comp_trunk_left_fat_mass,continuous,1304,1374,0.3161996770291488,-0.3000905231775903,-0.635929078813128,-0.6703540552350512,-0.602473015704098,9.232104062775672e-67,7.201041168965026e-66,True
body_composition,body_comp_trunk_right_fat_mass,continuous,1304,1374,0.3177368060393272,-0.3015493413939459,-0.6305034081959431,-0.6645993006563246,-0.5964370462535072,1.0045286790258157e-66,7.345615965376277e-66,True
body_composition,body_comp_android_fat_mass,continuous,1304,1374,0.3029122434710396,-0.2874800331049747,-0.6073849962810198,-0.6411886759480099,-0.5739124906847606,2.8362567662149227e-63,1.9520120096890936e-62,True
body_composition,hips,continuous,1378,1446,0.3085868339377657,-0.2940751432684916,-0.5804856968051711,-0.6240225669409971,-0.5804856968051711,5.237613712837294e-61,3.404448913344241e-60,True
body_composition,body_comp_legs_tissue_mass,continuous,1304,1374,0.2735985739262719,-0.2596597819504062,-0.5192552510823596,-0.5542196231772534,-0.4840655957036023,2.6670835338936958e-45,1.642361965608223e-44,True
body_composition,body_comp_leg_left_tissue_mass,continuous,1304,1374,0.2718644029598039,-0.2580139603053746,-0.5166889884421476,-0.5517772709239049,-0.4815761680319803,9.187410752954972e-45,5.374635290478659e-44,True
body_composition,body_comp_leg_right_tissue_mass,continuous,1304,1374,0.2711686961180965,-0.257353697043668,-0.5125205172772469,-0.5471519528764219,-0.4773382790430651,3.1441674569035693e-44,1.7517504402748457e-43,True
body_composition,body_comp_legs_total_mass,continuous,1304,1374,0.2667379921695424,-0.2531487203705125,-0.5066982335872549,-0.5396827013585881,-0.4738832978047907,5.8407552124972724e-43,3.1062198175553675e-42,True
body_composition,body_comp_leg_left_total_mass,continuous,1304,1374,0.2650800362635954,-0.2515752309226555,-0.5036486460492072,-0.5362699605597585,-0.4744683530178593,1.6638316552677498e-42,8.463839289840293e-42,True
body_composition,body_comp_leg_right_total_mass,continuous,1304,1374,0.2640160434049658,-0.2505654443959804,-0.4994044008533458,-0.5287246186418927,-0.4693712825371726,7.993291108852394e-42,3.8967294155655416e-41,True
body_composition,body_comp_gynoid_tissue_mass,continuous,1304,1374,0.2598073455906231,-0.2465711635008515,-0.5088671876231761,-0.5450217360923167,-0.473140208111059,3.471642419416227e-41,1.6247286522867943e-40,True
body_composition,body_comp_gynoid_total_mass,continuous,1304,1374,0.2548513365478978,-0.2418676440017904,-0.4975707645149675,-0.5420518116027984,-0.4689872924729387,1.2368154293624096e-39,5.5656694321308425e-39,True
body_composition,body_comp_total_tissue_mass,continuous,1304,1374,0.2130011392369244,-0.202149552812916,-0.4227785558211226,-0.457883441485551,-0.3873447929474388,1.055490714398008e-30,4.410443342305961e-30,True
body_composition,weight,continuous,1380,1447,0.2073560643064497,-0.1977549196564614,-0.4184332937726779,-0.4523606906989154,-0.3731979149504232,1.0419034039512095e-30,4.410443342305961e-30,True
body_composition,body_comp_total_right_tissue_mass,continuous,1304,1374,0.2121474616905888,-0.2013393668446346,-0.4220812241308873,-0.4569827478440877,-0.3869739209176941,1.6416766931993407e-30,6.623316313942168e-30,True
body_composition,body_comp_total_left_tissue_mass,continuous,1304,1374,0.2111902463556877,-0.2004309179387297,-0.4180168015785616,-0.4533384004382507,-0.3828378175276409,7.037730519276832e-30,2.744714902517965e-29,True
body_composition,body_comp_total_total_mass,continuous,1304,1374,0.2078837613842209,-0.1972928856222872,-0.4124497105234478,-0.4474837526943298,-0.3767088558428144,3.054257211169155e-29,1.1527357861509392e-28,True
