Phenotype,Label,Mean_Q1,Mean_Q4,Median_Diff,Cohens_d,N_Q1,N_Q4,P_Value,Adjusted_P_Value
Leg lean mass (left),Leg lean mass (left),22.578703703703702,-58.48809523809524,-101.33333333333333,-0.33271634091510244,72,70,0.016243803739264092,0.04018204082870591
Legs BMC (bone mineral content),Legs BMC BMC,-4.949807539682538,-7.678074309978766,-2.223166666666648,-0.29608237921338554,168,157,0.01799861215899077,0.04338127033192647
Total BMD (bone mineral density),Total BMD BMD,-0.00962558333333333,-0.014077849256900213,-0.0014441666666665798,-0.33133668807826444,168,157,0.020816028918740674,0.04891766795904058
Total BMD (bone mineral density) T-score,Total BMD BMD T-score,-0.09538925099206348,-0.13824765133757963,-0.011750749999999893,-0.31024172334268213,168,157,0.026636966750517983,0.06107011889143147
Arms total mass,Arms total mass,-9.911155753968247,-77.24979830148628,-87.07750000000033,-0.1586945721899481,168,157,0.028125403706994675,0.06294733210613095
Femur troch BMD (bone mineral density) (right),Femur troch BMD BMD (right),-0.00772151166666667,-0.014052787931034483,-0.006218416666666671,-0.2730423123994457,150,145,0.031050335862280655,0.06787747839661352
Arms combined bone area,Arms combined bone area,0.5034955357142852,4.827224522292995,2.7883333333333176,0.28826637627374,168,157,0.03401223808953683,0.07266250864582868
Head bone area,Head bone area,-0.8004007936507938,-0.32702070063694333,0.5524166666666707,0.18286668833926573,168,157,0.0375474295024398,0.07843240829398536
Pelvis BMD (bone mineral density),Pelvis BMD BMD,-0.007671574404761901,-0.010545831740976643,-0.00287416666666665,-0.17907792378474682,168,157,0.04751181779406562,0.09708936679656888
Gynoid bone mass,Gynoid bone mass,-0.8809523809523809,-2.43970189701897,0.0,-0.34392641904577187,133,123,0.05621686687118622,0.11031502262135919
Ribs bone area,Ribs bone area,1.0900322420634918,-1.627646496815286,-2.3263333333333356,-0.226467662404458,168,157,0.05633107538111958,0.11031502262135919
Trunk BMD (bone mineral density) (left),Trunk BMD BMD (left),-0.0057078354978355,-0.01042513596491228,-0.006786166666666621,-0.26666505653008377,77,76,0.06563057529782163,0.1259035526121476
Femur troch BMD (bone mineral density) T-score (right),Femur troch BMD BMD T-score (right),-0.060672837165555556,-0.11292037610344828,-0.029670568416666633,-0.23648528294700616,150,145,0.06929716085671617,0.13027866241062638
Femur wards BMD (bone mineral density) (left),Femur wards BMD BMD (left),-0.005161219560878241,-0.010586394904458594,-0.0029891666666666903,-0.21561848219479282,167,157,0.09879995696128792,0.1821018814580601
Pelvis BMC (bone mineral content),Pelvis BMC BMC,-1.647484126984127,-3.1119012738853513,-0.4807500000000009,-0.20161597727164657,168,157,0.101805004942005,0.18403212431823981
Femur wards BMD (bone mineral density) T-score (left),Femur wards BMD BMD T-score (left),-0.03970235790818363,-0.08102551870488324,-0.02217833333333323,-0.21333772165567721,167,157,0.10810009767095216,0.19172470152961327
VAT (visceral adipose tissue) mass,VAT (visceral adipose tissue) mass,27.399749373433586,2.9959016393442623,-16.083333333333332,-0.20663145721439005,133,122,0.12970466803021882,0.22578219990445497
VAT (visceral adipose tissue) volume,VAT (visceral adipose tissue) volume,29.026942355889723,3.1987704918032787,-17.083333333333336,-0.2063108577125427,133,122,0.13252539622968326,0.2264979499198223
Spine BMC (bone mineral content),Spine BMC BMC,-1.2910779761904765,-2.7238259023354567,-1.0046666666666701,-0.18904737465802554,168,157,0.16136769536985007,0.27086720294224836
Head BMD (bone mineral density),Head BMD BMD,-0.012275624999999981,-0.01771776539278131,-0.005906666666666727,-0.15821869052348833,168,157,0.1752279346317065,0.28897238342772646
Arm bone area (left),Arm bone area (left),0.8097445887445882,2.9378728070175435,1.7894999999999945,0.2302907351309593,77,76,0.18834952654694836,0.30525612923126116
