system,feature,effect_size_cohens_d,ci_low,ci_high,p_value,q_value_fdr,higher_in,significant_q05,analysis_type
body_composition,total_scan_sat_mass,-0.0374,-0.0417,-0.0331,4.648040344034686e-17,1.3263920006147762e-16,A (adipose),True,continuous
body_composition,body_comp_gynoid_bone_mass,0.3152,0.2694,0.3605,1.3559367680900018e-11,3.7772524253935755e-11,B (lean),True,continuous
body_composition,body_comp_trunk_fat_mass,-0.2749,-0.3181,-0.2313,8.998112556275318e-10,2.448323649033052e-09,A (adipose),True,continuous
body_composition,hips,-0.3047,-0.3047,-0.2438,1.0163062531017555e-09,2.702450718475122e-09,A (adipose),True,continuous
body_composition,body_comp_trunk_right_fat_mass,-0.273,-0.3163,-0.23,1.1296989438180306e-09,2.9372172539268793e-09,A (adipose),True,continuous
body_composition,body_comp_trunk_left_fat_mass,-0.2729,-0.3162,-0.2294,1.269960265475351e-09,3.2301163274046973e-09,A (adipose),True,continuous
body_composition,body_comp_android_fat_mass,-0.2633,-0.3062,-0.2204,4.059073714162299e-09,1.01045026501487e-08,A (adipose),True,continuous
body_composition,body_comp_arms_bone_mass,0.2486,0.204,0.2935,9.513126801622846e-08,2.318824657895569e-07,B (lean),True,continuous
body_composition,body_comp_total_left_bone_mass,0.2331,0.1874,0.2789,6.308196104306567e-07,1.5062427432732003e-06,B (lean),True,continuous
body_composition,body_comp_leg_left_bone_mass,0.2297,0.1844,0.2773,9.732734803064938e-07,2.2774599439171955e-06,B (lean),True,continuous
body_composition,body_comp_legs_bone_mass,0.2287,0.183,0.2748,1.158503437603085e-06,2.657743180383548e-06,B (lean),True,continuous
body_composition,body_comp_trunk_bone_mass,0.2223,0.1764,0.268,1.3810932967394969e-06,3.107459917663868e-06,B (lean),True,continuous
body_composition,body_comp_leg_right_bone_mass,0.2243,0.1769,0.2686,1.767798914806714e-06,3.902499491177085e-06,B (lean),True,continuous
body_composition,body_comp_arm_right_bone_mass,0.0002,0.0002,0.0003,1.875446358298623e-06,3.990198180471312e-06,B (lean),True,continuous
body_composition,body_comp_total_bone_mass,0.2238,0.1784,0.2698,1.875734187401044e-06,3.990198180471312e-06,B (lean),True,continuous
body_composition,body_comp_trunk_left_bone_mass,0.214,0.1716,0.2594,2.2559898446485287e-06,4.713407353997819e-06,B (lean),True,continuous
body_composition,body_comp_legs_tissue_mass,-0.2067,-0.2492,-0.1634,2.5904914065847246e-06,5.317324466147592e-06,A (adipose),True,continuous
body_composition,body_comp_leg_right_tissue_mass,-0.2066,-0.25,-0.1638,2.9368743564288726e-06,5.92438447762376e-06,A (adipose),True,continuous
body_composition,body_comp_trunk_right_bone_mass,0.2179,0.1736,0.2627,3.480563872105053e-06,6.902135136208325e-06,B (lean),True,continuous
body_composition,body_comp_leg_left_tissue_mass,-0.2033,-0.2464,-0.1595,4.349049046494141e-06,8.480645640663576e-06,A (adipose),True,continuous
body_composition,body_comp_legs_total_mass,-0.1936,-0.2375,-0.1527,1.0011503861697756e-05,1.9202392652764544e-05,A (adipose),True,continuous
body_composition,body_comp_leg_right_total_mass,-0.1906,-0.2385,-0.1498,1.2516581865103771e-05,2.36200012615668e-05,A (adipose),True,continuous
body_composition,body_comp_arm_left_bone_mass,0.0002,0.0001,0.0002,1.6767461523951605e-05,3.113957140162441e-05,B (lean),True,continuous
body_composition,body_comp_leg_left_total_mass,-0.1911,-0.2354,-0.1465,1.739677000881228e-05,3.180347017235995e-05,A (adipose),True,continuous
body_composition,body_comp_total_right_bone_mass,0.1983,0.1519,0.245,2.4340923311974007e-05,4.381366196155321e-05,B (lean),True,continuous
body_composition,body_comp_legs_diff_fat_mass,-0.0186,-0.0236,-0.0138,0.0001288923656585,0.0002284910118492,A (adipose),True,continuous
body_composition,body_comp_android_bone_mass,0.1714,0.1212,0.2209,0.0001597413159608,0.000278951253245,B (lean),True,continuous
body_composition,body_comp_gynoid_tissue_mass,-0.1604,-0.2054,-0.1152,0.0004642248723889,0.0007987398539632,A (adipose),True,continuous
body_composition,body_comp_gynoid_total_mass,-0.1466,-0.1985,-0.1049,0.0010388259328325,0.0017614874513247,A (adipose),True,continuous
body_composition,body_comp_trunk_diff_fat_mass,-0.0276,-0.0369,-0.0182,0.0030745450216961,0.0051388823934063,A (adipose),True,continuous
body_composition,body_comp_arms_diff_fat_free_mass,0.0116,0.0073,0.0156,0.0070068797652761,0.0115465483455958,B (lean),True,continuous
body_composition,body_comp_trunk_diff_fat_free_mass,0.0688,0.0428,0.0956,0.0082028151326867,0.0133295745906159,B (lean),True,continuous
body_composition,body_comp_arms_diff_lean_mass,0.0105,0.0062,0.0146,0.0156526140097336,0.0250870662895731,B (lean),True,continuous
body_composition,body_comp_trunk_diff_lean_mass,0.0724,0.0408,0.1045,0.0241861342854807,0.03824023934326,B (lean),True,continuous
body_composition,body_comp_arm_right_total_mass,0.0993,0.049,0.1472,0.0250474836334198,0.039074074468135,B (lean),True,continuous
body_composition,body_comp_trunk_left_total_mass,0.0964,0.0528,0.1406,0.0276187080958786,0.0425182743054973,B (lean),True,continuous
