representation,n,silhouette_pca,dip_p_between_centroids,ari_vs_deepdxa_cluster,ami_vs_deepdxa_cluster,cluster_0_n,cluster_1_n
DeepDXA,4394,0.11017119139432907,0.8804280724788621,0.9981092149974172,0.9939404754204696,1230,3164
DINOv3,4394,0.07710172235965729,0.9696635654930063,0.8267300416285077,0.7166768914874211,1325,3069
Tabular DXA,4394,0.19422161315826822,0.9929783427036987,0.021702279943477436,0.020800373688156376,2202,2192
