sex,n,OR_per_year_gap,ci_low,ci_high,p,pseudo_r2
Female,6125,1.0627304488062226,1.0325769953737254,1.0937644474745518,3.43024146635056e-05,0.013002293099911633
Male,5550,1.104712744579459,1.0740203488221303,1.136282240252406,4.2923725695391306e-12,0.030141965769822865
