Event,Arm,Seed,C-Index
Date I25 first reported (chronic ischaemic heart disease) - visit 0,Covariates,42,0.6971321764887576
Date I25 first reported (chronic ischaemic heart disease) - visit 0,Covariates,142,0.678288121171764
Date I25 first reported (chronic ischaemic heart disease) - visit 0,Covariates,242,0.7249889848200329
Date I25 first reported (chronic ischaemic heart disease) - visit 0,Covariates,342,0.6893417169390808
Date I25 first reported (chronic ischaemic heart disease) - visit 0,Covariates,442,0.6684102924499673
Date I25 first reported (chronic ischaemic heart disease) - visit 0,Covariates,542,0.6708629097948777
Date I25 first reported (chronic ischaemic heart disease) - visit 0,Covariates,642,0.6902437118147542
Date I25 first reported (chronic ischaemic heart disease) - visit 0,Covariates,742,0.689169590079929
Date I25 first reported (chronic ischaemic heart disease) - visit 0,Covariates,842,0.7039816232771823
Date I25 first reported (chronic ischaemic heart disease) - visit 0,Covariates,942,0.6688500321591265
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA Tabular + Covariates,42,0.6946769837561281
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA Tabular + Covariates,142,0.6781639264555885
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA Tabular + Covariates,242,0.7237209277928727
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA Tabular + Covariates,342,0.6908186766334882
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA Tabular + Covariates,442,0.6640924893652137
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA Tabular + Covariates,542,0.6700800812449089
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA Tabular + Covariates,642,0.691036051453566
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA Tabular + Covariates,742,0.6903643763697228
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA Tabular + Covariates,842,0.7028629272977392
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA Tabular + Covariates,942,0.6684899030973757
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.7006697660174925
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.6808090096660483
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.7262544191852963
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.6910471272337023
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.6691050807391908
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.6734071025822763
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.6945342040085918
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.6916407774004768
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.7130479923170764
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.6734679232646031
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (DINO) + Covariates,42,0.7008360855251868
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (DINO) + Covariates,142,0.6832981888710965
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (DINO) + Covariates,242,0.7142609863306862
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (DINO) + Covariates,342,0.700426883854121
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (DINO) + Covariates,442,0.6785818865232368
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (DINO) + Covariates,542,0.6944482645537349
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (DINO) + Covariates,642,0.7021961822165567
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (DINO) + Covariates,742,0.6997861961376158
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (DINO) + Covariates,842,0.7225504191865445
Date I25 first reported (chronic ischaemic heart disease) - visit 0,DXA SSL (DINO) + Covariates,942,0.6772366539624828
Date I63 first reported (cerebral infarction) - visit 0,Covariates,42,0.7195137052335506
Date I63 first reported (cerebral infarction) - visit 0,Covariates,142,0.6431550018639409
Date I63 first reported (cerebral infarction) - visit 0,Covariates,242,0.7047560422471327
Date I63 first reported (cerebral infarction) - visit 0,Covariates,342,0.5614395615976394
Date I63 first reported (cerebral infarction) - visit 0,Covariates,442,0.6902212322088331
Date I63 first reported (cerebral infarction) - visit 0,Covariates,542,0.6436566832957551
Date I63 first reported (cerebral infarction) - visit 0,Covariates,642,0.6136264325580472
Date I63 first reported (cerebral infarction) - visit 0,Covariates,742,0.568583552687044
Date I63 first reported (cerebral infarction) - visit 0,Covariates,842,0.712933324252537
Date I63 first reported (cerebral infarction) - visit 0,Covariates,942,0.6957059477487493
Date I63 first reported (cerebral infarction) - visit 0,DXA Tabular + Covariates,42,0.7191112604923093
Date I63 first reported (cerebral infarction) - visit 0,DXA Tabular + Covariates,142,0.6417332050248381
Date I63 first reported (cerebral infarction) - visit 0,DXA Tabular + Covariates,242,0.7043163536392332
Date I63 first reported (cerebral infarction) - visit 0,DXA Tabular + Covariates,342,0.5578915937752486
Date I63 first reported (cerebral infarction) - visit 0,DXA Tabular + Covariates,442,0.6882889169193884
Date I63 first reported (cerebral infarction) - visit 0,DXA Tabular + Covariates,542,0.6412200188186837
Date I63 first reported (cerebral infarction) - visit 0,DXA Tabular + Covariates,642,0.6103044868611834
Date I63 first reported (cerebral infarction) - visit 0,DXA Tabular + Covariates,742,0.5683399998126516
Date I63 first reported (cerebral infarction) - visit 0,DXA Tabular + Covariates,842,0.7121257820025102
Date I63 first reported (cerebral infarction) - visit 0,DXA Tabular + Covariates,942,0.6957569019825829
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.7175987758603914
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.6479232229706885
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.6950134683563052
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.5544314469385604
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.6887183203170428
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.64272906421432
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.6199177706715395
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.5628132230475958
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.7066870335957035
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.6934593292569946
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (DINO) + Covariates,42,0.7199692196109996
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (DINO) + Covariates,142,0.6430856459205702
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (DINO) + Covariates,242,0.704168248002888
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (DINO) + Covariates,342,0.5612814838233744
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (DINO) + Covariates,442,0.6906953651270765
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (DINO) + Covariates,542,0.6434125730111669
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (DINO) + Covariates,642,0.613889606133434
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (DINO) + Covariates,742,0.5688364729796821
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (DINO) + Covariates,842,0.7124565824422802
Date I63 first reported (cerebral infarction) - visit 0,DXA SSL (DINO) + Covariates,942,0.6955716138595516
Date of death - visit 0,Covariates,42,0.7197730088629289
Date of death - visit 0,Covariates,142,0.7130991899849435
Date of death - visit 0,Covariates,242,0.7122827529252382
Date of death - visit 0,Covariates,342,0.7381357401601739
Date of death - visit 0,Covariates,442,0.709427248156247
Date of death - visit 0,Covariates,542,0.6900211237074413
Date of death - visit 0,Covariates,642,0.710059038465
Date of death - visit 0,Covariates,742,0.7266019248692528
Date of death - visit 0,Covariates,842,0.714111306835028
Date of death - visit 0,Covariates,942,0.7203515865029254
Date of death - visit 0,DXA Tabular + Covariates,42,0.7191621445438808
Date of death - visit 0,DXA Tabular + Covariates,142,0.7140418991792622
Date of death - visit 0,DXA Tabular + Covariates,242,0.7120090192912618
Date of death - visit 0,DXA Tabular + Covariates,342,0.737479673653775
Date of death - visit 0,DXA Tabular + Covariates,442,0.7090605348581362
Date of death - visit 0,DXA Tabular + Covariates,542,0.6886605355643904
Date of death - visit 0,DXA Tabular + Covariates,642,0.7099690408049391
Date of death - visit 0,DXA Tabular + Covariates,742,0.7266453865432999
Date of death - visit 0,DXA Tabular + Covariates,842,0.7142639133543784
Date of death - visit 0,DXA Tabular + Covariates,942,0.7191048258542537
Date of death - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.7225683067186441
Date of death - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.718603539403904
Date of death - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.7120229379506166
Date of death - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.7406850271564672
Date of death - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.7101425654537964
Date of death - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.6896429263253051
Date of death - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.7127319689688069
Date of death - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.7290164623163141
Date of death - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.7134747196400231
Date of death - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.7220569769616443
Date of death - visit 0,DXA SSL (DINO) + Covariates,42,0.7261860049473534
Date of death - visit 0,DXA SSL (DINO) + Covariates,142,0.7454461784535101
Date of death - visit 0,DXA SSL (DINO) + Covariates,242,0.7244894171793372
Date of death - visit 0,DXA SSL (DINO) + Covariates,342,0.7624898661155708
Date of death - visit 0,DXA SSL (DINO) + Covariates,442,0.7141220838369982
Date of death - visit 0,DXA SSL (DINO) + Covariates,542,0.7142211440009594
Date of death - visit 0,DXA SSL (DINO) + Covariates,642,0.7520339471173749
Date of death - visit 0,DXA SSL (DINO) + Covariates,742,0.7232698631923082
Date of death - visit 0,DXA SSL (DINO) + Covariates,842,0.7356288260634495
Date of death - visit 0,DXA SSL (DINO) + Covariates,942,0.7402819460152639
Date M19 first reported (other arthrosis) - visit 0,Covariates,42,0.7137244726640007
Date M19 first reported (other arthrosis) - visit 0,Covariates,142,0.6436989639159026
Date M19 first reported (other arthrosis) - visit 0,Covariates,242,0.6434775938511575
Date M19 first reported (other arthrosis) - visit 0,Covariates,342,0.6150347714822422
Date M19 first reported (other arthrosis) - visit 0,Covariates,442,0.6864408041254302
Date M19 first reported (other arthrosis) - visit 0,Covariates,542,0.6462933051461419
Date M19 first reported (other arthrosis) - visit 0,Covariates,642,0.6092291364335377
Date M19 first reported (other arthrosis) - visit 0,Covariates,742,0.6760965967581791
Date M19 first reported (other arthrosis) - visit 0,Covariates,842,0.5888750393375253
Date M19 first reported (other arthrosis) - visit 0,Covariates,942,0.6127719058779862
Date M19 first reported (other arthrosis) - visit 0,DXA Tabular + Covariates,42,0.7275802069660247
Date M19 first reported (other arthrosis) - visit 0,DXA Tabular + Covariates,142,0.639443345551931
Date M19 first reported (other arthrosis) - visit 0,DXA Tabular + Covariates,242,0.6582329748554071
Date M19 first reported (other arthrosis) - visit 0,DXA Tabular + Covariates,342,0.6195222437663913
Date M19 first reported (other arthrosis) - visit 0,DXA Tabular + Covariates,442,0.6856800886062382
Date M19 first reported (other arthrosis) - visit 0,DXA Tabular + Covariates,542,0.6520683143505267
Date M19 first reported (other arthrosis) - visit 0,DXA Tabular + Covariates,642,0.6188599029033086
Date M19 first reported (other arthrosis) - visit 0,DXA Tabular + Covariates,742,0.6798930357501812
Date M19 first reported (other arthrosis) - visit 0,DXA Tabular + Covariates,842,0.5907447287716202
Date M19 first reported (other arthrosis) - visit 0,DXA Tabular + Covariates,942,0.6253408645312308
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.7331695106688239
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.6750658061675894
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.6726539128300324
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.6313436402520365
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.6973245441661605
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.6488022423069157
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.6198531482163356
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.6858777951719895
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.5965728530967117
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.6335754930749498
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (DINO) + Covariates,42,0.7256112823956775
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (DINO) + Covariates,142,0.6512502407542716
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (DINO) + Covariates,242,0.64729453998742
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (DINO) + Covariates,342,0.6290204998986652
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (DINO) + Covariates,442,0.6965474531661248
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (DINO) + Covariates,542,0.655809451418663
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (DINO) + Covariates,642,0.6026709325676165
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (DINO) + Covariates,742,0.6918351434819422
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (DINO) + Covariates,842,0.5866227731875429
Date M19 first reported (other arthrosis) - visit 0,DXA SSL (DINO) + Covariates,942,0.6221080768804796
Date E03 first reported (other hypothyroidism) - visit 0,Covariates,42,0.7014260951780649
Date E03 first reported (other hypothyroidism) - visit 0,Covariates,142,0.6621054119262257
Date E03 first reported (other hypothyroidism) - visit 0,Covariates,242,0.6550509282159478
Date E03 first reported (other hypothyroidism) - visit 0,Covariates,342,0.6743732455715806
Date E03 first reported (other hypothyroidism) - visit 0,Covariates,442,0.6419068964099189
Date E03 first reported (other hypothyroidism) - visit 0,Covariates,542,0.6758087483203306
Date E03 first reported (other hypothyroidism) - visit 0,Covariates,642,0.62915308010928
Date E03 first reported (other hypothyroidism) - visit 0,Covariates,742,0.6065457885286165
Date E03 first reported (other hypothyroidism) - visit 0,Covariates,842,0.6305230859146698
Date E03 first reported (other hypothyroidism) - visit 0,Covariates,942,0.5264943244529502
Date E03 first reported (other hypothyroidism) - visit 0,DXA Tabular + Covariates,42,0.7017018594390168
Date E03 first reported (other hypothyroidism) - visit 0,DXA Tabular + Covariates,142,0.6617167546613635
Date E03 first reported (other hypothyroidism) - visit 0,DXA Tabular + Covariates,242,0.6542029658493251
Date E03 first reported (other hypothyroidism) - visit 0,DXA Tabular + Covariates,342,0.6718613880553673
Date E03 first reported (other hypothyroidism) - visit 0,DXA Tabular + Covariates,442,0.6416601554468068
Date E03 first reported (other hypothyroidism) - visit 0,DXA Tabular + Covariates,542,0.6711056737730892
Date E03 first reported (other hypothyroidism) - visit 0,DXA Tabular + Covariates,642,0.6275961340736171
Date E03 first reported (other hypothyroidism) - visit 0,DXA Tabular + Covariates,742,0.6064271119275144
Date E03 first reported (other hypothyroidism) - visit 0,DXA Tabular + Covariates,842,0.6296512760568869
Date E03 first reported (other hypothyroidism) - visit 0,DXA Tabular + Covariates,942,0.5273550229350831
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.6975358493539238
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.6632108137574577
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.6533852878529391
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.6860323298809409
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.6481371057285027
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.6825875935099577
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.6347052084251344
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.6159934779467916
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.6319403857393338
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.5327116052532985
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (DINO) + Covariates,42,0.644126221241727
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (DINO) + Covariates,142,0.6946769097204696
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (DINO) + Covariates,242,0.6580995548197576
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (DINO) + Covariates,342,0.6688703900880844
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (DINO) + Covariates,442,0.6157523543200231
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (DINO) + Covariates,542,0.6476805519343776
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (DINO) + Covariates,642,0.6476014218148703
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (DINO) + Covariates,742,0.6132587562692204
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (DINO) + Covariates,842,0.6782875511396844
Date E03 first reported (other hypothyroidism) - visit 0,DXA SSL (DINO) + Covariates,942,0.5411869538361838
Date N18 first reported (chronic renal failure) - visit 0,Covariates,42,0.7234533384750992
Date N18 first reported (chronic renal failure) - visit 0,Covariates,142,0.7328671297212676
Date N18 first reported (chronic renal failure) - visit 0,Covariates,242,0.7515019176269702
Date N18 first reported (chronic renal failure) - visit 0,Covariates,342,0.7472499412477177
Date N18 first reported (chronic renal failure) - visit 0,Covariates,442,0.7736344877999131
Date N18 first reported (chronic renal failure) - visit 0,Covariates,542,0.7165176279508265
Date N18 first reported (chronic renal failure) - visit 0,Covariates,642,0.7695328194347115
Date N18 first reported (chronic renal failure) - visit 0,Covariates,742,0.7111050640590986
Date N18 first reported (chronic renal failure) - visit 0,Covariates,842,0.7473143005125824
Date N18 first reported (chronic renal failure) - visit 0,Covariates,942,0.750796626899172
Date N18 first reported (chronic renal failure) - visit 0,DXA Tabular + Covariates,42,0.7220737843396504
Date N18 first reported (chronic renal failure) - visit 0,DXA Tabular + Covariates,142,0.7334317024454321
Date N18 first reported (chronic renal failure) - visit 0,DXA Tabular + Covariates,242,0.7499798850317817
Date N18 first reported (chronic renal failure) - visit 0,DXA Tabular + Covariates,342,0.746940361914059
Date N18 first reported (chronic renal failure) - visit 0,DXA Tabular + Covariates,442,0.7708400803160826
Date N18 first reported (chronic renal failure) - visit 0,DXA Tabular + Covariates,542,0.7178034369136851
Date N18 first reported (chronic renal failure) - visit 0,DXA Tabular + Covariates,642,0.7697080121466947
Date N18 first reported (chronic renal failure) - visit 0,DXA Tabular + Covariates,742,0.7101459619571036
Date N18 first reported (chronic renal failure) - visit 0,DXA Tabular + Covariates,842,0.7445705559822114
Date N18 first reported (chronic renal failure) - visit 0,DXA Tabular + Covariates,942,0.7503571863182992
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.7294972087556927
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.7328963705396505
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.7514415727223152
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.7448523961892366
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.7785061948867895
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.7212104806265227
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.7735949544498949
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.7167213875307805
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.747816613384294
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.7476394153412087
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (DINO) + Covariates,42,0.7312738724842074
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (DINO) + Covariates,142,0.731474816907491
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (DINO) + Covariates,242,0.7517321222632468
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (DINO) + Covariates,342,0.744255834553573
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (DINO) + Covariates,442,0.7724501031710048
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (DINO) + Covariates,542,0.7197216491958444
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (DINO) + Covariates,642,0.7691567390796543
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (DINO) + Covariates,742,0.7167972235109382
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (DINO) + Covariates,842,0.7453921165901662
Date N18 first reported (chronic renal failure) - visit 0,DXA SSL (DINO) + Covariates,942,0.752926223560325
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,Covariates,42,0.6655000604048221
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,Covariates,142,0.6015795429358034
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,Covariates,242,0.6292837951713895
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,Covariates,342,0.5713874092468675
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,Covariates,442,0.5617837230181904
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,Covariates,542,0.6091002029560664
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,Covariates,642,0.6613141332780814
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,Covariates,742,0.6404094815666929
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,Covariates,842,0.6719206703994139
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,Covariates,942,0.5843774894095399
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA Tabular + Covariates,42,0.6480192709687103
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA Tabular + Covariates,142,0.6676310355688805
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA Tabular + Covariates,242,0.5836617780985599
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA Tabular + Covariates,342,0.5773927549144124
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA Tabular + Covariates,442,0.5951012124367187
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA Tabular + Covariates,542,0.659305422473046
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA Tabular + Covariates,642,0.701458133692471
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA Tabular + Covariates,742,0.6837929216395485
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA Tabular + Covariates,842,0.6133691158771333
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA Tabular + Covariates,942,0.5991445737386372
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.7684591645097875
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.7479341895995925
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.784103147401476
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.7357799556423331
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.75582263869084
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.7075848228095457
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.7810949507357267
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.7858757249623001
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.7716807080757414
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.7377213945904898
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (DINO) + Covariates,42,0.7246748207075052
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (DINO) + Covariates,142,0.658061229648122
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (DINO) + Covariates,242,0.6944840173675798
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (DINO) + Covariates,342,0.6439140901939227
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (DINO) + Covariates,442,0.6252914148615921
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (DINO) + Covariates,542,0.6581850144483594
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (DINO) + Covariates,642,0.672824546668788
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (DINO) + Covariates,742,0.6870928136095656
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (DINO) + Covariates,842,0.7056723804112999
Date M16 first reported (coxarthrosis [arthrosis of hip]) - visit 0,DXA SSL (DINO) + Covariates,942,0.6589871872184874
Date E11 first reported (non-insulin-dependent diabetes mellitus) - visit 0,Covariates,42,0.7327760038442711
Date E11 first reported (non-insulin-dependent diabetes mellitus) - visit 0,Covariates,142,0.6941275485902695
Date E11 first reported (non-insulin-dependent diabetes mellitus) - visit 0,Covariates,242,0.7705609160037777
Date E11 first reported (non-insulin-dependent diabetes mellitus) - visit 0,Covariates,342,0.6953353378434811
Date E11 first reported (non-insulin-dependent diabetes mellitus) - visit 0,Covariates,442,0.7133831782619358
Date E11 first reported (non-insulin-dependent diabetes mellitus) - visit 0,Covariates,542,0.7271130704371747
Date E11 first reported (non-insulin-dependent diabetes mellitus) - visit 0,Covariates,642,0.7526106060875598
Date E11 first reported (non-insulin-dependent diabetes mellitus) - visit 0,Covariates,742,0.698728099769121
Date E11 first reported (non-insulin-dependent diabetes mellitus) - visit 0,Covariates,842,0.7135189815867242
Date E11 first reported (non-insulin-dependent diabetes mellitus) - visit 0,Covariates,942,0.7194726540011515
Date E11 first reported (non-insulin-dependent diabetes mellitus) - visit 0,DXA Tabular + Covariates,42,0.7298636092136759
