Event,Arm,Seed,C-Index
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.6490004777764699
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.7105418534124152
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.6203813299488042
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.6063715304803352
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.6163307677072591
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.7107123436650353
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.6748762756408069
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.6425811300420451
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.6765860558181254
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.6855526562426253
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (DINO) + Covariates,42,0.6500321979794902
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (DINO) + Covariates,142,0.7071938487963286
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (DINO) + Covariates,242,0.6189766553056771
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (DINO) + Covariates,342,0.6106760698743156
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (DINO) + Covariates,442,0.6143365454880723
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (DINO) + Covariates,542,0.7117193321652266
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (DINO) + Covariates,642,0.6745964026075976
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (DINO) + Covariates,742,0.6429285516771956
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (DINO) + Covariates,842,0.6769103391175354
Date I21 first reported (acute myocardial infarction) - visit 0,DXA SSL (DINO) + Covariates,942,0.6879327898807236
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,Covariates,42,0.7441048408360472
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,Covariates,142,0.6986993368488889
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,Covariates,242,0.7808155894334551
