disease,model,seed,auc,pr
dis__atrial_fibrillation,dino_cov,2024,0.7569124472977746,0.133651452051065
dis__atrial_fibrillation,tab_cov,2024,0.7415591349815144,0.11923821753928206
dis__atrial_fibrillation,covariates,7,0.6895147566231434,0.0717319054888795
dis__atrial_fibrillation,lejepa_cov,7,0.7022510391538714,0.09102554554448142
dis__atrial_fibrillation,dino_cov,7,0.7037847749599015,0.08382192892460795
dis__atrial_fibrillation,tab_cov,7,0.7040442975234741,0.07949665794320357
dis__atrial_fibrillation,covariates,17,0.6852156164511778,0.07900531795818296
dis__atrial_fibrillation,lejepa_cov,17,0.7001025326849524,0.0961830395692059
dis__atrial_fibrillation,dino_cov,17,0.6866318225716559,0.09582515037609923
dis__atrial_fibrillation,tab_cov,17,0.6894504077907821,0.08568154957073858
dis__atrial_fibrillation,covariates,31,0.7225735703923045,0.09567519202891037
dis__atrial_fibrillation,lejepa_cov,31,0.7314249915974251,0.11527355169688053
dis__atrial_fibrillation,dino_cov,31,0.7107440214084843,0.12303917294587019
dis__atrial_fibrillation,tab_cov,31,0.7207569124472978,0.10658082947284282
dis__atrial_fibrillation,covariates,137,0.695141290890758,0.08493244486183882
dis__atrial_fibrillation,lejepa_cov,137,0.7184988534208053,0.09168057868224727
dis__atrial_fibrillation,dino_cov,137,0.706507634643284,0.08354258461496289
dis__atrial_fibrillation,tab_cov,137,0.7024509991618698,0.0812286349697221
dis__atrial_fibrillation,covariates,256,0.741845779780214,0.10596385430305962
dis__atrial_fibrillation,lejepa_cov,256,0.7501425246865521,0.11289148580143189
dis__atrial_fibrillation,dino_cov,256,0.7546522610371543,0.11509873402091877
dis__atrial_fibrillation,tab_cov,256,0.7504137470378266,0.10735719635040841
dis__back_pain,covariates,42,0.5472135515040659,0.20388094857068267
dis__back_pain,lejepa_cov,42,0.5927122890033203,0.23451072734196896
dis__back_pain,dino_cov,42,0.6027603535002087,0.2341225286447738
dis__back_pain,tab_cov,42,0.6062864087321311,0.23678969969925573
dis__back_pain,covariates,73,0.534505537109569,0.19880942781106964
dis__back_pain,lejepa_cov,73,0.5677774022307494,0.228698062793624
dis__back_pain,dino_cov,73,0.57083474163469,0.23105578709039062
dis__back_pain,tab_cov,73,0.5852525995586217,0.2381955441179407
dis__back_pain,covariates,99,0.539648612243275,0.20337345615900665
dis__back_pain,lejepa_cov,99,0.6007085412648865,0.24153760738869537
dis__back_pain,dino_cov,99,0.6072375091953794,0.24803054687964599
dis__back_pain,tab_cov,99,0.5990911485774499,0.24838576035785337
dis__back_pain,covariates,123,0.5420473636598604,0.20163919444106793
dis__back_pain,lejepa_cov,123,0.5987437123486491,0.2425352505171651
dis__back_pain,dino_cov,123,0.5912233831043602,0.23874095557642716
dis__back_pain,tab_cov,123,0.597089538143428,0.2403786221246984
dis__back_pain,covariates,2024,0.520256551086546,0.19218977470781057
dis__back_pain,lejepa_cov,2024,0.5875002485237688,0.24072596347068506
dis__back_pain,dino_cov,2024,0.5918521482394576,0.23727482547490228
dis__back_pain,tab_cov,2024,0.5674409010477761,0.22048744063588274
dis__back_pain,covariates,7,0.5406062985863969,0.19892302336841033
dis__back_pain,lejepa_cov,7,0.5759732190786727,0.22725473253458472
dis__back_pain,dino_cov,7,0.5704718969322226,0.2215749917727915
dis__back_pain,tab_cov,7,0.585377358490566,0.2278086324415443
dis__back_pain,covariates,17,0.5413324850388692,0.20379298081132813
dis__back_pain,lejepa_cov,17,0.5947298049585462,0.23853101995283713
dis__back_pain,dino_cov,17,0.5904025090959699,0.24126832962713607
dis__back_pain,tab_cov,17,0.593916883710758,0.23549474322128838
dis__back_pain,covariates,31,0.5477286170149314,0.20703114352218482
dis__back_pain,lejepa_cov,31,0.5838924289719069,0.23783946791584337
dis__back_pain,dino_cov,31,0.5953384396683699,0.24333617705684307
dis__back_pain,tab_cov,31,0.5790715649044675,0.23370979939161546
dis__back_pain,covariates,137,0.5479356373143528,0.21040256762982562
dis__back_pain,lejepa_cov,137,0.5865998469093583,0.23654312257879587
dis__back_pain,dino_cov,137,0.5863177724317554,0.23480926598851345
