n,std_beta,ci_low,ci_high,p_value,model,system,feature,label,fdr_q_value
4185,-0.029782154365733955,-0.05974985339155893,0.00018554466009101933,0.05143477956735886,base_age_bmi_vat,derived,android_gynoid_fat_ratio,Android:gynoid fat ratio,0.05143477956735886
3814,0.8142144774011053,0.7873143388918524,0.8411146159103582,0.0,exclude_reproductive_or_hormone_positive,derived,lean_to_fat_ratio,Lean-to-fat ratio,0.0
3814,0.4461492850251543,0.4174983777976805,0.47480019225262804,2.567184705571313e-183,exclude_reproductive_or_hormone_positive,derived,almi,Appendicular lean-mass index,2.310466235014182e-182
3814,-0.42057910437172497,-0.448876364408761,-0.39228184433468893,1.0580157622246075e-168,exclude_reproductive_or_hormone_positive,body_composition,body_comp_legs_fat_mass,Legs fat mass,6.348094573347646e-168
3814,0.4663202197206779,0.42177466590552243,0.5108657735358334,7.13320402747488e-89,exclude_reproductive_or_hormone_positive,body_composition,body_comp_arms_lean_mass,Arms lean mass,3.209941812363696e-88
3814,0.45529957066209087,0.40919352358546346,0.5014056177387183,9.957378039969555e-80,exclude_reproductive_or_hormone_positive,bone_density,body_pelvis_bmc,Pelvis BMC,3.58465609438904e-79
3701,0.34726183993134135,0.29934793084517675,0.39517574901750596,1.1719826839137526e-44,exclude_reproductive_or_hormone_positive,bone_density,femur_troch_mean_bmd,Femoral trochanteric BMD,3.515948051741258e-44
3805,0.3599782950690378,0.3077783582017715,0.41217823193630404,1.0201121184340021e-40,exclude_reproductive_or_hormone_positive,frailty,hand_grip_left,Grip strength,2.6231454474017197e-40
3728,0.2496512722143311,0.20838542274286015,0.290917121685802,7.004262191095389e-32,exclude_reproductive_or_hormone_positive,liver,liver_sound_speed,Liver sound speed,1.5759589929964625e-31
3763,-0.24560368949095723,-0.29726304552984034,-0.19394433345207415,1.907098215012961e-20,exclude_reproductive_or_hormone_positive,cardiovascular_system,hr_bpm,Resting heart rate,3.814196430025922e-20
2879,-0.24555697136359192,-0.3049669166140928,-0.186147026113091,7.753932601604565e-16,exclude_reproductive_or_hormone_positive,sleep,heart_rate_mean_during_rem,REM sleep heart rate,1.3957078682888218e-15
2879,-0.24559396193995695,-0.30615171664335744,-0.18503620723655645,2.6127742046804767e-15,exclude_reproductive_or_hormone_positive,sleep,heart_rate_min_during_rem,Minimum REM heart rate,4.2754486985680525e-15
2521,0.23771819261502009,0.1732791583158606,0.30215722691417957,6.20242434500715e-13,exclude_reproductive_or_hormone_positive,lifestyle,physical_activity_maderate_days_a_week,Moderate activity days/week,9.303636517510725e-13
1188,0.2759591670535723,0.18923798779794312,0.36268034630920154,5.961760536121334e-10,exclude_reproductive_or_hormone_positive,proteomics,MYL3,MYL3,8.254745357706463e-10
3409,0.161218373291055,0.1073798343578907,0.21505691222421933,4.743015311150752e-09,exclude_reproductive_or_hormone_positive,high_level_diet,Energy / BMR,Energy intake / BMR,6.098162542908109e-09
1188,0.2542737668875976,0.16528837545600128,0.34325915831919396,2.570835991015731e-08,exclude_reproductive_or_hormone_positive,proteomics,ITGB6,ITGB6,3.085003189218877e-08
1198,0.2527745098004889,0.15639925439582442,0.34914976520515334,3.111612622999522e-07,exclude_reproductive_or_hormone_positive,renal_function,bt__creatinine,Creatinine,3.500564200874463e-07
3409,0.12850508880284126,0.07211214312981866,0.18489803447586384,8.158263376738828e-06,exclude_reproductive_or_hormone_positive,high_level_diet,IMEDAS_score_per_day,Mediterranean diet score,8.638161222429347e-06
3814,-0.03275471481551853,-0.06433456436645127,-0.001174865264585788,0.042068519024234266,exclude_reproductive_or_hormone_positive,derived,android_gynoid_fat_ratio,Android:gynoid fat ratio,0.042068519024234266
