feature,delta_z,ci_low,ci_high,p_value,mean_Cluster 0,mean_Cluster 1,n_Cluster 0,n_Cluster 1,adj_p_value,-log10_p,-log10_q,significant,regulation,cohort,raw_mean_A,raw_mean_B,raw_median_A,raw_median_B,raw_n_A,raw_n_B
almi,-0.37724670633698143,-0.4448171923935398,-0.3096762202804231,1.3395559433216558e-26,6.591525569505613,6.2774856476339105,3044,1186,1.3395559433216558e-26,25.873039144415937,25.873039144415937,True,downregulated,unmatched,6.591525569505613,6.2774856476339105,6.509365833890257,6.224769661890919,3044,1186
lean_to_fat_ratio,1.505797737316196,1.4314595527190432,1.5801359219133486,0.0,1.4898510454242646,2.2572936268084236,3051,1186,2.2250738585072014e-308,307.6526555685888,307.6526555685888,True,upregulated,unmatched,1.4898510454242646,2.2572936268084236,1.4375668631474592,2.158027705584546,3051,1186
android_gynoid_fat_ratio,-0.5344071918167583,-0.6024345465806109,-0.4663798370529058,2.943548213383308e-64,0.4328268336903727,0.3597470042526981,3051,1186,4.415322320074962e-64,63.53112884633564,63.35503758727996,True,downregulated,unmatched,0.4328268336903727,0.3597470042526981,0.42253038863208353,0.33541992560673645,3051,1186
almi,0.6363523617361092,0.5465747452757018,0.7261299781965166,3.324022979328235e-42,5.967226579040286,6.417261363009831,1002,1001,4.9860344689923526e-42,41.478335982553105,41.302244723497424,True,upregulated,matched,5.967226579040286,6.417261363009831,5.902357149516105,6.338702506754216,1002,1001
lean_to_fat_ratio,0.9299325626988463,0.8377318037904431,1.0221333216072495,1.639690787166452e-82,1.7204422853395305,2.1585701577456162,1002,1001,4.919072361499356e-82,81.7852380434698,81.30811678875014,True,upregulated,matched,1.7204422853395305,2.1585701577456162,1.6845833257446747,2.0828573374175536,1002,1001
android_gynoid_fat_ratio,0.02835402964821453,-0.0592385803802087,0.11594663967663775,0.4396981815565948,0.3729358707033581,0.37672112046281503,1002,1001,0.4396981815565948,0.3568453304721054,0.3568453304721054,False,not_significant,matched,0.3729358707033581,0.37672112046281503,0.35904996999890837,0.35407612311623327,1002,1001
