drug,drug_label,sex,phenotype,phenotype_label,N_paired,mean_before,mean_after,mean_delta_raw,cohens_d,p_raw,mean_delta_ageadj,p_ageadj,q_raw,q_ageadj
N06A,Antidepressants,Female,age_residual,Bio-age gap,21,2.3071666231882175,1.2417260874072906,-1.065440535780927,-0.29259498277531465,0.20291709899902344,6.132660516977055e-16,1.0,0.2898815699986049,1.0
N06A,Antidepressants,Female,bmi,BMI,21,25.148870740618026,26.630298796154204,1.48142805553618,0.6637763492427678,0.0037527084350585938,-5.075305255429287e-16,0.6091489791870117,0.03752708435058594,1.0
N06A,Antidepressants,Female,body_comp_total_lean_mass,Lean mass,16,38.48470041590506,39.32179956490709,0.8370991490020305,0.37403664183752044,0.104583740234375,-6.38378239159465e-16,0.743560791015625,0.17430623372395834,1.0
N06A,Antidepressants,Female,body_comp_total_tissue_mass,Total tissue,16,62.890957037168185,65.90681862388067,3.01586158671247,0.5151538837555109,0.0506591796875,-5.551115123125783e-15,0.705718994140625,0.13079833984375,1.0
N06A,Antidepressants,Female,total_scan_vat_volume,VAT,16,625.01603797475,755.4617965989062,130.44575862415624,0.5606057041182327,0.0506591796875,-6.394884621840902e-14,0.899932861328125,0.13079833984375,1.0
N06A,Antidepressants,Female,total_scan_sat_volume,SAT,16,1552.231191341625,1676.6078598469062,124.37666850528127,0.2621300750790648,0.4637451171875,-5.400124791776761e-13,0.979949951171875,0.579681396484375,1.0
N06A,Antidepressants,Female,femur_neck_mean_bmd,Femur-neck BMD,16,0.89773288925,0.8789811560312499,-0.018751733218750018,-0.5209965700169304,0.065399169921875,-1.6479873021779667e-17,0.93988037109375,0.13079833984375,1.0
N06A,Antidepressants,Female,body_total_bmd,Total BMD,16,1.141982750875,1.13828526990625,-0.0036974809687500207,-0.10638562242187792,0.860260009765625,-9.107298248878237e-18,0.781951904296875,0.860260009765625,1.0
N06A,Antidepressants,Female,hand_grip_left,Grip strength,20,50.38000020980835,50.10499992370605,-0.2750002861022942,-0.03975705907017337,0.7841262817382812,2.6645352591003756e-16,1.0,0.860260009765625,1.0
N06A,Antidepressants,Female,fat_mass_derived,Fat mass (derived),16,24.406256621263125,26.585019058973565,2.1787624377104384,0.5019714408936552,0.065399169921875,-4.6629367034256575e-15,0.5618896484375,0.13079833984375,1.0
