Phenotype,Label,Mean_Q1,Mean_Q4,Median_Diff,Cohens_d,N_Q1,N_Q4,P_Value,Adjusted_P_Value
Trunk lean mass,Trunk lean mass,95.24924242424242,-21.321428571428566,-97.75,-0.23540489127740863,110,91,0.09934593288525811,0.2394491715695965
Ribs bone area,Ribs bone area,1.8148429256594716,-0.5953023255813966,-3.511749999999985,-0.21128794990084285,139,129,0.10491973964422957,0.2465613881639395
L1-L4 BMD (bone mineral density) T-score,L1-L4 BMD BMD T-score,0.0038045426666666647,0.05510776692753624,0.04900325000000008,0.2382834472806423,125,115,0.1098837065197873,0.24835846637950337
Head bone area,Head bone area,-0.47379136690647555,-0.7403695090439285,-0.5580000000000069,-0.05829581852757166,139,129,0.11096867646743767,0.24835846637950337
Femur total BMD (bone mineral density) T-score (right),Femur total BMD BMD T-score (right),-0.04019451201822917,-0.08100174446751414,-0.015472416666666586,-0.24674608916147578,128,118,0.12363319627634164,0.2607506576355286
Femur troch BMD (bone mineral density) T-score (right),Femur troch BMD BMD T-score (right),-0.05551375731770833,-0.11050804289406779,-0.02071333333333332,-0.23783093792296725,128,118,0.12627922914348488,0.2607506576355286
L1-L4 BMC (bone mineral content),L1-L4 BMC BMC,0.11059673333333307,0.5845225362318838,0.2838999999999956,0.19222025278616015,125,115,0.1265143043344782,0.2607506576355286
Legs combined bone area,Legs combined bone area,-0.5340425659472433,-1.7675704134366939,-2.2509999999999764,-0.08574386444025164,139,129,0.128382864161492,0.2607506576355286
Arms BMD (bone mineral density),Arms BMD BMD,-0.00870294364508393,-0.013117367571059428,-0.007344999999999935,-0.14724260111797904,139,129,0.1303753288177643,0.2607506576355286
Trunk BMD (bone mineral density) (right),Trunk BMD BMD (right),-0.002381861635220134,-0.008000166666666673,-0.0038349999999999582,-0.3045854951444902,53,51,0.13819541801051102,0.27063269360391745
Leg BMD (bone mineral density) (right),Leg BMD BMD (right),-0.005652028301886799,0.001244624183006541,0.009707500000000147,0.2527572692012692,53,51,0.14168640091964668,0.27180656502952627
Femur total BMD (bone mineral density) (right),Femur total BMD BMD (right),-0.004324539062500003,-0.008358451977401121,-0.0017094999999999567,-0.23030510549888694,128,118,0.15863578382185872,0.291783915190828
Femur wards BMD (bone mineral density) (left),Femur wards BMD BMD (left),-0.00015038788968825344,-0.007642194444444441,-0.0036235000000000017,-0.2891671055469261,139,129,0.16754634355053677,0.291783915190828
Femur troch BMD (bone mineral density) (right),Femur troch BMD BMD (right),-0.0059968593749999966,-0.010777357344632772,-0.0020625000000000036,-0.2314846569150555,128,118,0.16756150581946827,0.291783915190828
Android lean mass,Android lean mass,12.278787878787877,-19.76098901098901,-7.666666666666667,-0.25885180276323605,110,91,0.16869350227915847,0.291783915190828
Trunk BMD (bone mineral density),Trunk BMD BMD,-0.004346392086330939,-0.007022945736434107,-0.004243333333333377,-0.19385554214805556,139,129,0.17047873987889073,0.291783915190828
Total BMC (bone mineral content),Total BMC BMC,-11.144304556354912,-18.206498708010336,-2.229999999999791,-0.21719596371953742,139,129,0.17072463122867598,0.291783915190828
Femur neck BMD (bone mineral density) T-score (left),Femur neck BMD BMD T-score (left),-0.010467964296163063,-0.06978133195090439,-0.00993939999999999,-0.30241038977211937,139,129,0.18207626471096594,0.3056280157648357
Leg BMD (bone mineral density) (left),Leg BMD BMD (left),-0.004564575471698119,-0.002402859477124181,0.00759666666666677,0.08070886673803518,53,51,0.21908997926220697,0.3613062815903062
Arms combined bone area,Arms combined bone area,0.6154124700239804,2.5159916020671846,2.556166666666684,0.11041553696198893,139,129,0.24632978995997046,0.3992241423489176
Femur neck BMD (bone mineral density) (left),Femur neck BMD BMD (left),-0.0012808627098321351,-0.008946960594315245,-0.0008799999999999919,-0.3107179520992725,139,129,0.26682071415367703,0.42510418865162103
Total BMD (bone mineral density) (left),Total BMD BMD (left),0.0004759088050314414,-0.004451120915032673,-0.0018700000000002603,-0.2567606070163245,53,51,0.2891949116030542,0.45307202817811826
Arm lean mass (right),Arm lean mass (right),-2.8576388888888893,-47.03191489361702,-16.833333333333332,-0.3401661954783388,48,47,0.31314312108218234,0.48254841609385474
Arm total mass (left),Arm total mass (left),-27.018883647798745,-54.80697712418297,-31.724999999999454,-0.13094967834811014,53,51,0.3358720232644006,0.48680778570936645
Femur neck BMD (bone mineral density) T-score (right),Femur neck BMD BMD T-score (right),-0.020631199322916672,-0.0507636239759887,-0.017779899999999967,-0.16373117094065937,128,118,0.3359485575699932,0.48680778570936645
