covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age_true,0.1141390262439874,1.1209079496741332,0.008319498740721274,0.09783310834274737,0.13044494414522745,1.1027787251808734,1.1393352110928634,0.0,13.719459525285284,7.764200869291427e-43,139.88607063735205
sex,0.44410871372677974,1.5590999719773775,0.10725891034641175,0.23388511242680216,0.6543323150267573,1.2634993234978833,1.9238575576680406,0.0,4.140529791813581,3.465046006205858e-05,14.816765966956165
Q2,-0.0017885402388681314,0.998213058246098,0.15920105961742126,-0.3138168833896278,0.3102398029118915,0.7306528105761914,1.363752106650005,0.0,-0.011234474463714013,0.9910363748320246,0.012990084068237373
Q3,0.15935027597541412,1.1727486604258859,0.15201504313480885,-0.13859373367711403,0.4572942856279423,0.870581644625752,1.5797937264367024,0.0,1.04825333525775,0.29452190325306127,1.763553165281458
Q4,0.3653961835462769,1.4410848291649079,0.14618000053965638,0.07888864722850475,0.651903719864049,1.0820838223288427,1.9191909554472018,0.0,2.4996318388106076,0.012432243072579946,6.329769573373234
