covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age_true,0.11473696847039486,1.1215783882909633,0.008322606666376051,0.09842495914680484,0.1310489777939849,1.1034315988389112,1.1400236157864463,0.0,13.786181790128413,3.0867002740505778e-43,141.2168426795276
sex,0.43907508363701786,1.5512717581407398,0.1072844366836289,0.22880145163543741,0.6493487156385983,1.257092420585783,1.914293673398891,0.0,4.092626080815491,4.265151983664142e-05,14.51704332323982
bioage_gap,0.057582211404608945,1.0592723513430375,0.016417101421235238,0.025405283888446546,0.08975913892077134,1.025730748441318,1.0939107714425707,0.0,3.5074529861969026,0.0004524182885172607,11.11005512966499
age_true,0.11423107230158173,1.1210111295804057,0.00832271561784767,0.09791884943703127,0.1305432951661322,1.1028732826891976,1.1394472713845587,0.0,13.725216329225356,7.171476415412693e-43,140.00063791828347
sex,0.4439706241002289,1.5588846913088474,0.1072552184130941,0.23375425885658724,0.6541869893438705,1.2633340009172003,1.9235779920692186,0.0,4.139384830584872,3.482383691961088e-05,14.809565305338365
Q2,0.005634241848010206,1.0056501440401822,0.15919183359146313,-0.3063760186241511,0.3176445023201715,0.7361097764249386,1.373887760491067,0.0,0.035392781909086256,0.9717665403097919,0.041318336192373614
Q3,0.16096935719203062,1.1746489737194459,0.152007836860851,-0.1369605284230774,0.4588992428071387,0.8720046448512405,1.582331263494054,0.0,1.0589543310150715,0.2896205788617445,1.7877639787680712
Q4,0.3735563475456599,1.4528924281594675,0.146179583346285,0.08704962891187024,0.6600630661794495,1.090950821076932,1.9349143582103379,0.0,2.555461843537629,0.010604698713781745,6.559152556205404
