analysis,n_cluster1,n_cluster0,mean_cluster1,std_cluster1,mean_cluster0,std_cluster0,median_cluster1,median_cluster0,mean_diff_c1_minus_c0,cliffs_delta,mannwhitney_U,p_value,n_conditions_in_panel
pre_matching,1229,3156,2.176566314076485,3.2761954962794166,2.3567807351077312,3.451188494718255,0.0,0.0,-0.18021442103124619,-0.01630587791242688,1907739.0,0.34155760682334013,48
post_matching,1035,1035,2.2309178743961353,3.345919109692686,2.166183574879227,3.3525036726838318,0.0,0.0,0.06473429951690823,0.01451889192279876,543389.0,0.5141095922572543,48
