Feature ID,Feature,System,Feature type,Cohen's d (B − A),95% CI lower,95% CI upper,Cluster A mean,Cluster B mean,Prevalence difference (B − A),P,Adj. P,Cluster A (n),Cluster B (n),Significant (adj. P < 0.05),Unit
femur_left_wards_bmc,Femur left wards BMC,Bone density,continuous,0.133,0.043,0.222,1.69942,1.7561,,0.028,0.047,974,965,Yes,g
femur_shaft_mean_bmd,Femur shaft mean BMD,Bone density,continuous,0.105,0.016,0.195,1.07388,1.09018,,0.028,0.047,974,964,Yes,g/cm²
body_leg_left_bmd,Body leg left BMD,Bone density,continuous,0.086,-0.002,0.174,1.08214,1.0919,,0.029,0.047,1002,1001,Yes,g/cm²
hr_bpm,Resting heart rate (bpm),Cardiovascular,continuous,-0.322,-0.409,-0.234,61.1621,58.4843,,2.8e-13,2.3e-11,1018,1018,Yes,bpm
r_r_ms,RR interval (ms),Cardiovascular,continuous,0.336,0.248,0.423,998.986,1046.88,,2.7e-13,2.3e-11,1018,1018,Yes,ms
qt_ms,QT interval (ms),Cardiovascular,continuous,0.334,0.246,0.421,420.968,430.981,,5.2e-13,2.9e-11,1017,1017,Yes,ms
sitting_blood_pressure_pulse_rate,Sitting blood pressure pulse rate,Cardiovascular,continuous,-0.271,-0.358,-0.184,65.3725,62.8401,,4.5e-10,1.9e-08,1031,1032,Yes,
l_ankle_index,L ankle index,Cardiovascular,continuous,0.171,0.084,0.258,1.07573,1.09575,,1.5e-05,0.0004,1008,1011,Yes,
l_abi,"Ankle-brachial index, left",Cardiovascular,continuous,0.171,0.084,0.258,1.0754,1.0954,,1.4e-05,0.0004,1008,1011,Yes,
standing_three_min_blood_pressure_pulse_rate,Standing three min blood pressure pulse rate,Cardiovascular,continuous,-0.38,-0.548,-0.212,74.1308,70.1385,,1.9e-05,0.00044,260,296,Yes,
standing_one_min_blood_pressure_pulse_rate,Standing one min blood pressure pulse rate,Cardiovascular,continuous,-0.385,-0.553,-0.217,74.6207,70.3345,,2.2e-05,0.00046,261,296,Yes,
r_ankle_index,R ankle index,Cardiovascular,continuous,0.182,0.095,0.27,1.08203,1.10518,,3.6e-05,0.0006,1008,1011,Yes,
r_abi,"Ankle-brachial index, right",Cardiovascular,continuous,0.182,0.095,0.27,1.08165,1.10481,,3.6e-05,0.0006,1008,1011,Yes,
lying_blood_pressure_pulse_rate,Lying blood pressure pulse rate,Cardiovascular,continuous,-0.299,-0.466,-0.132,62.0494,59.468,,0.00028,0.004,263,297,Yes,
p_mv_aVF,P mV aVF,Cardiovascular,continuous,-0.182,-0.274,-0.089,0.103117,0.0920982,,0.00096,0.013,911,896,Yes,
l_ankle_pressure,L ankle pressure,Cardiovascular,continuous,0.138,0.05,0.225,120.014,123.056,,0.003,0.033,1008,1011,Yes,
r_ankle_pressure,R ankle pressure,Cardiovascular,continuous,0.139,0.052,0.226,120.856,124.062,,0.003,0.033,1008,1011,Yes,
p_mv_II,P mV II,Cardiovascular,continuous,-0.154,-0.243,-0.066,0.132261,0.1207,,0.004,0.04,982,986,Yes,
p_mv_aVR,P mV aVR,Cardiovascular,continuous,0.104,0.016,0.193,-0.100808,-0.0945875,,0.004,0.042,978,994,Yes,
st_mv_V2,ST mV V2,Cardiovascular,continuous,0.111,0.024,0.198,0.137878,0.153497,,0.004,0.042,1018,1018,Yes,
water_glasses_day,Water glasses day,Diet (questionnaire),continuous,0.262,0.139,0.385,6.42913,7.47554,,2.2e-05,0.00015,508,511,Yes,glasses/day
raw_veg_tablespoons_day,Raw veg tablespoons day,Diet (questionnaire),continuous,0.156,0.03,0.282,8.42917,9.64008,,0.003,0.012,480,489,Yes,tablespoons/day
cooked_veg_tablespoons_day,Cooked veg tablespoons day,Diet (questionnaire),continuous,0.191,0.044,0.339,4.08011,4.94524,,0.006,0.013,362,347,Yes,tablespoons/day
age_10_average_weight,Recalled body weight at age 10,Family history,continuous,0.18,0.064,0.296,2.01053,2.17962,,0.002,0.019,570,579,Yes,ordinal (questionnaire)
frailty_body_comp_arm_right_lean_mass,Arm right lean mass,Frailty,continuous,0.56,0.471,0.65,1.89025,2.07046,,2.7e-33,1.9e-32,1002,1001,Yes,kg
frailty_body_comp_arm_left_lean_mass,Arm left lean mass,Frailty,continuous,0.517,0.428,0.606,1.79698,1.96264,,1.6e-29,5.4e-29,1002,1001,Yes,kg
hand_grip_left,Hand grip left,Frailty,continuous,0.453,0.366,0.541,51.5304,56.6458,,2.7e-23,6.2e-23,1031,1032,Yes,lb
hand_grip_right,Hand grip right,Frailty,continuous,0.413,0.326,0.501,53.7566,59.2355,,8.3e-23,1.5e-22,1031,1033,Yes,lb
frailty_body_comp_leg_right_lean_mass,Leg right lean mass,Frailty,continuous,0.436,0.347,0.525,6.10254,6.50069,,2.3e-21,3.3e-21,1002,1001,Yes,kg
frailty_body_comp_leg_left_lean_mass,Leg left lean mass,Frailty,continuous,0.427,0.338,0.515,6.02962,6.41488,,2.1e-20,2.5e-20,1002,1001,Yes,kg
bt__mch,Mean corpuscular haemoglobin (MCH),Hematopoietic,continuous,0.222,0.134,0.31,30.4038,30.7724,,2.4e-07,1.9e-06,997,987,Yes,pg
bt__mcv,Mean corpuscular volume (MCV),Hematopoietic,continuous,0.162,0.074,0.25,89.5323,90.2214,,0.00014,0.00038,995,988,Yes,fL
bt__rdw,Red cell distribution width (RDW),Hematopoietic,continuous,-0.166,-0.254,-0.077,13.3675,13.2423,,0.00014,0.00038,997,984,Yes,%
bt__mchc,Mean corpuscular haemoglobin concentration (MCHC),Hematopoietic,continuous,0.149,0.06,0.237,33.9741,34.101,,0.00034,0.00068,998,989,Yes,
bt__hemoglobin,Hemoglobin,Hematopoietic,continuous,0.153,0.065,0.241,13.2239,13.3547,,0.00062,0.001,998,987,Yes,
Energy / BMR,Energy / BMR,Diet (nutrient intake),continuous,0.202,0.111,0.294,1.11842,1.17074,,1.5e-05,0.002,924,924,Yes,ratio
IMEDAS_score_per_day,Mediterranean diet score (IMEDAS),Diet (nutrient intake),continuous,0.192,0.1,0.283,9.99354,10.2707,,4.5e-05,0.003,924,924,Yes,ordinal (questionnaire)
Vitamin B-6,Vitamin B-6,Diet (nutrient intake),continuous,0.178,0.087,0.27,0.00100681,0.00105309,,0.00013,0.005,924,924,Yes,
"Potassium, K","Potassium, K",Diet (nutrient intake),continuous,0.122,0.031,0.214,1.62894,1.67405,,0.00056,0.018,924,924,Yes,
"Manganese, Mn","Manganese, Mn",Diet (nutrient intake),continuous,0.117,0.026,0.208,0.00245587,0.00272889,,0.00087,0.022,924,924,Yes,
NOVA_pct,Nova (%),Diet (nutrient intake),continuous,-0.14,-0.231,-0.049,0.18737,0.174517,,0.001,0.025,924,924,Yes,
Phytosterols,Phytosterols,Diet (nutrient intake),continuous,0.109,0.017,0.2,0.275509,0.290981,,0.002,0.029,924,924,Yes,
"Phosphorus, P","Phosphorus, P",Diet (nutrient intake),continuous,0.149,0.057,0.24,0.726553,0.745159,,0.002,0.035,924,924,Yes,
physical_activity_maderate_days_a_week,Physical activity maderate days a week,Lifestyle,continuous,0.288,0.182,0.394,2.34745,2.95108,,6.4e-08,1.2e-06,685,695,Yes,days/week
vigorous_activity_minutes,Vigorous activity minutes,Lifestyle,continuous,0.236,0.123,0.348,17.7028,24.9269,,1.8e-06,1.8e-05,599,616,Yes,min/day
walking_minutes_day,Walking minutes day,Lifestyle,continuous,0.215,0.108,0.321,34.9234,42.3831,,0.0005,0.003,679,676,Yes,min/day
walking_10min_days_a_week,Walking 10min days a week,Lifestyle,continuous,0.151,0.048,0.255,4.36,4.69535,,0.002,0.007,725,709,Yes,days/week
hours_watching_tv,Hours watching tv,Lifestyle,continuous,-0.056,-0.162,0.05,1.92518,1.84047,,0.004,0.013,695,677,Yes,ordinal (questionnaire)
liver_sound_speed,Liver sound speed,Liver,continuous,0.235,0.147,0.323,1559.03,1565.58,,1.8e-07,2e-06,1002,1000,Yes,m/s
health_satisfaction,Health satisfaction,Mental health,continuous,0.256,0.161,0.352,4.34229,4.54877,,4.7e-07,6.1e-06,856,851,Yes,ordinal (questionnaire)
tired_or_little_energy_fortnight,Tired or little energy fortnight,Mental health,continuous,-0.2,-0.296,-0.105,1.14539,0.986967,,0.00017,0.001,846,844,Yes,ordinal (questionnaire)
happiness_level,Happiness level,Mental health,continuous,0.169,0.073,0.265,4.26159,4.37634,,0.002,0.007,841,837,Yes,ordinal (questionnaire)
bt__creatinine,Creatinine,Renal function,continuous,0.294,0.138,0.451,0.727456,0.758177,,7.9e-05,0.00032,338,299,Yes,mg/dL
heart_rate_mean_during_wake,Heart rate mean during wake,Sleep,continuous,-0.333,-0.433,-0.232,66.0198,63.5441,,2.1e-09,8.8e-08,781,773,Yes,bpm
heart_rate_mean_during_rem,Heart rate mean during REM,Sleep,continuous,-0.319,-0.42,-0.218,64.1926,61.8203,,1.4e-09,8.8e-08,767,763,Yes,bpm
heart_rate_mean_during_sleep,Heart rate mean during sleep,Sleep,continuous,-0.321,-0.422,-0.221,62.2693,59.8994,,1.9e-09,8.8e-08,776,770,Yes,bpm
heart_rate_mean_during_nrem,Heart rate mean during NREM,Sleep,continuous,-0.322,-0.423,-0.221,62.1999,59.8402,,3.6e-09,1.1e-07,767,764,Yes,bpm
heart_rate_min_during_rem,Heart rate min during REM,Sleep,continuous,-0.301,-0.402,-0.2,50.2065,48.1808,,1.5e-08,3e-07,767,763,Yes,bpm
heart_rate_max_during_nrem,Heart rate max during NREM,Sleep,continuous,-0.282,-0.382,-0.181,94.2996,91.5245,,1.3e-08,3e-07,767,764,Yes,bpm
heart_rate_min_during_sleep,Heart rate min during sleep,Sleep,continuous,-0.272,-0.372,-0.171,48.6044,46.8857,,5.2e-08,9.3e-07,776,770,Yes,bpm
heart_rate_max_during_sleep,Heart rate max during sleep,Sleep,continuous,-0.233,-0.333,-0.133,96.3022,93.9968,,1e-06,1.6e-05,776,770,Yes,bpm
heart_rate_min_during_wake,Heart rate min during wake,Sleep,continuous,-0.247,-0.347,-0.148,46.6513,44.5096,,2.5e-06,3.1e-05,781,773,Yes,bpm
heart_rate_max_during_wake,Heart rate max during wake,Sleep,continuous,-0.257,-0.357,-0.157,98.6909,95.984,,2.5e-06,3.1e-05,781,773,Yes,bpm
heart_rate_max_during_rem,Heart rate max during REM,Sleep,continuous,-0.238,-0.338,-0.137,93.385,91.0879,,5.1e-06,5.8e-05,767,763,Yes,bpm
heart_rate_min_during_nrem,Heart rate min during NREM,Sleep,continuous,-0.226,-0.327,-0.126,47.5763,46.1145,,1e-05,0.00011,767,764,Yes,bpm
quality_score_pat,Quality score pat,Sleep,continuous,-0.066,-0.166,0.033,98.5625,98.2759,,0.003,0.032,781,773,Yes,
