Feature ID,Feature,System,Feature type,Cohen's d (B − A),95% CI lower,95% CI upper,Cluster A mean,Cluster B mean,Prevalence difference (B − A),P,Adj. P,Cluster A (n),Cluster B (n),Significant (adj. P < 0.05),Unit
t_axis,T axis,Cardiovascular,continuous,-0.051,-0.138,0.036,54.4322,43.1847,,0.14,0.427,1018,1018,No,
r_ms_V6,R ms V6,Cardiovascular,continuous,0.062,-0.025,0.149,45.6079,46.2043,,0.139,0.427,1015,1018,No,
from_l_thigh_to_l_ankle_transit_time,From l thigh to l ankle transit time,Cardiovascular,continuous,-0.092,-0.258,0.074,67.963,66.2081,,0.172,0.463,262,297,No,
p_mv_V2,P mV V2,Cardiovascular,continuous,0.04,-0.052,0.131,0.123366,0.128054,,0.164,0.463,912,925,No,
j_mv_aVR,J mV aVR,Cardiovascular,continuous,0.045,-0.042,0.132,-0.00780943,-0.00312377,,0.162,0.463,1018,1018,No,
s_mv_V3,S mV V3,Cardiovascular,continuous,-0.086,-0.175,0.004,-0.473627,-0.499875,,0.172,0.463,965,957,No,
s_mv_V4,S mV V4,Cardiovascular,continuous,-0.082,-0.176,0.012,-0.296917,-0.313584,,0.157,0.463,892,865,No,
s_mv_II,S mV II,Cardiovascular,continuous,0.044,-0.083,0.17,-0.186557,-0.181843,,0.17,0.463,488,472,No,
p_mv_V6,P mV V6,Cardiovascular,continuous,-0.014,-0.106,0.078,0.0749231,0.07382,,0.162,0.463,910,911,No,
r_mv_V2,R mV V2,Cardiovascular,continuous,-0.031,-0.118,0.056,0.441471,0.433584,,0.19,0.495,1013,1010,No,
automorph_disc_height,Automorph disc height,Cardiovascular,continuous,-0.224,-0.533,0.085,279358.0,264772.0,,0.189,0.495,70,96,No,
r_ms_aVF,R ms aVF,Cardiovascular,continuous,0.03,-0.057,0.118,46.6239,47.0158,,0.197,0.505,1013,1014,No,
lying_blood_pressure_systolic,Lying blood pressure systolic,Cardiovascular,continuous,0.144,-0.023,0.31,112.122,114.229,,0.214,0.516,263,297,No,
st_mv_V1,ST mV V1,Cardiovascular,continuous,0.055,-0.032,0.142,0.0672692,0.0726031,,0.212,0.516,1018,1018,No,
r_mv_aVF,R mV aVF,Cardiovascular,continuous,-0.058,-0.145,0.029,0.57154,0.554093,,0.205,0.516,1013,1014,No,
st_mv_V6,ST mV V6,Cardiovascular,continuous,0.016,-0.071,0.103,0.0093222,0.0107957,,0.209,0.516,1018,1018,No,
from_l_thigh_to_l_ankle_duration,From l thigh to l ankle duration,Cardiovascular,continuous,-0.137,-0.304,0.029,60.5802,58.963,,0.23,0.523,262,297,No,
from_r_thigh_to_r_ankle_duration,From r thigh to r ankle duration,Cardiovascular,continuous,-0.137,-0.304,0.029,60.5802,58.963,,0.23,0.523,262,297,No,
q_mv_aVR,Q mV aVR,Cardiovascular,continuous,0.079,-0.032,0.189,-0.607846,-0.593561,,0.232,0.523,622,643,No,
p_ms,P ms,Cardiovascular,continuous,0.045,-0.042,0.133,107.363,107.905,,0.233,0.523,1001,1006,No,ms
r_ms_V4,R ms V4,Cardiovascular,continuous,0.024,-0.063,0.111,44.5108,44.7151,,0.233,0.523,1018,1018,No,
standing_one_min_blood_pressure_systolic,Standing one min blood pressure systolic,Cardiovascular,continuous,0.122,-0.044,0.289,109.594,111.432,,0.245,0.527,261,296,No,
qrs_axis,Qrs axis,Cardiovascular,continuous,0.003,-0.084,0.09,63.2986,64.7662,,0.243,0.527,1018,1018,No,
automorph_artery_distance_tortuosity,Automorph artery distance tortuosity,Cardiovascular,continuous,-0.036,-0.15,0.078,3.56277,3.51909,,0.248,0.527,590,594,No,
automorph_squared_curvature_tortuosity,Automorph squared curvature tortuosity,Cardiovascular,continuous,0.087,-0.026,0.201,13.8906,14.6235,,0.243,0.527,590,594,No,
t_mv_aVR,T mV aVR,Cardiovascular,continuous,-0.058,-0.145,0.029,-0.195212,-0.201055,,0.251,0.528,1015,1014,No,
automorph_disc_width,Automorph disc width,Cardiovascular,continuous,-0.235,-0.544,0.074,275011.0,256142.0,,0.256,0.532,70,96,No,
q_mv_I,Q mV i,Cardiovascular,continuous,0.098,-0.075,0.27,-0.0995572,-0.0803659,,0.268,0.549,271,246,No,
s_mv_aVR,S mV aVR,Cardiovascular,continuous,-0.037,-0.178,0.104,-0.684419,-0.692116,,0.277,0.562,396,378,No,
automorph_vein_average_width,Automorph vein average width,Cardiovascular,continuous,0.049,-0.065,0.163,19956.3,20028.9,,0.287,0.575,590,594,No,
from_l_thigh_to_l_ankle_pwv,From l thigh to l ankle pwv,Cardiovascular,continuous,0.093,-0.076,0.262,6.2783,6.45151,,0.301,0.595,254,287,No,
q_ms_aVL,Q ms aVL,Cardiovascular,continuous,-0.09,-0.226,0.046,24.081,22.8317,,0.308,0.602,420,416,No,
automorph_vein_distance_tortuosity,Automorph vein distance tortuosity,Cardiovascular,continuous,0.031,-0.083,0.145,2.78259,2.8061,,0.328,0.633,590,594,No,
r_mv_V1,R mV V1,Cardiovascular,continuous,0.009,-0.081,0.099,0.165585,0.166519,,0.332,0.633,958,948,No,
r_mv_V3,R mV V3,Cardiovascular,continuous,-0.044,-0.131,0.043,0.756667,0.740639,,0.339,0.638,1017,1017,No,
st_mv_aVL,ST mV aVL,Cardiovascular,continuous,-0.044,-0.131,0.043,0.00613949,0.00089391,,0.352,0.65,1018,1018,No,
p_mv_V4,P mV V4,Cardiovascular,continuous,0.034,-0.057,0.124,0.0873526,0.0899358,,0.353,0.65,933,934,No,
from_r_thigh_to_r_ankle_transit_time,From r thigh to r ankle transit time,Cardiovascular,continuous,-0.028,-0.194,0.139,68.3118,67.7741,,0.357,0.651,262,297,No,
r_mv_II,R mV II,Cardiovascular,continuous,-0.056,-0.143,0.031,0.798701,0.781837,,0.367,0.661,1016,1018,No,
r_ms_aVL,R ms aVL,Cardiovascular,continuous,-0.033,-0.124,0.058,36.18,35.6406,,0.383,0.682,922,935,No,
from_r_thigh_to_r_ankle_pwv,From r thigh to r ankle pwv,Cardiovascular,continuous,-0.049,-0.218,0.121,6.67858,6.41521,,0.426,0.716,251,287,No,
intima_media_th_2_fit,Intima media th 2 fit,Cardiovascular,continuous,0.101,-0.147,0.349,89.5327,90.5857,,0.425,0.716,113,140,No,
t_mv_aVF,T mV aVF,Cardiovascular,continuous,-0.063,-0.152,0.025,0.148761,0.143103,,0.428,0.716,985,970,No,
s_mv_V5,S mV V5,Cardiovascular,continuous,-0.044,-0.141,0.054,-0.250429,-0.257651,,0.414,0.716,815,796,No,
q_ms_I,Q ms i,Cardiovascular,continuous,-0.117,-0.29,0.056,15.4022,14.5366,,0.428,0.716,271,246,No,
automorph_fractal_dimension,Automorph fractal dimension,Cardiovascular,continuous,-0.042,-0.156,0.072,1.5252,1.52433,,0.416,0.716,590,594,No,
standing_one_min_blood_pressure_diastolic,Standing one min blood pressure diastolic,Cardiovascular,continuous,0.051,-0.115,0.218,76.8123,77.3277,,0.458,0.738,261,296,No,
intima_media_th_mm_2_intima_media_thickness,Intima media th mm 2 intima media thickness,Cardiovascular,continuous,-0.101,-0.349,0.147,0.603487,0.592036,,0.451,0.738,113,140,No,
q_mv_III,Q mV III,Cardiovascular,continuous,-0.048,-0.208,0.112,-0.115342,-0.120682,,0.452,0.738,292,308,No,
p_mv_I,P mV i,Cardiovascular,continuous,-0.055,-0.146,0.035,0.0745376,0.070913,,0.474,0.738,930,931,No,
q_mv_II,Q mV II,Cardiovascular,continuous,0.107,-0.064,0.277,-0.0956322,-0.0910409,,0.477,0.738,261,269,No,
automorph_vein_fractal_dimension,Automorph vein fractal dimension,Cardiovascular,continuous,-0.05,-0.164,0.064,1.37269,1.37144,,0.462,0.738,590,594,No,
automorph_tortuosity_density,Automorph tortuosity density,Cardiovascular,continuous,0.028,-0.086,0.142,0.652236,0.652992,,0.464,0.738,590,594,No,
automorph_cdr_horizontal,Automorph cdr horizontal,Cardiovascular,continuous,0.091,-0.217,0.4,0.763078,0.774619,,0.476,0.738,70,96,No,
automorph_artery_squared_curvature_tortuosity,Automorph artery squared curvature tortuosity,Cardiovascular,continuous,0.066,-0.048,0.18,24.4824,26.0751,,0.483,0.741,590,594,No,
l_brachial_pressure,L brachial pressure,Cardiovascular,continuous,0.044,-0.043,0.132,109.287,110.193,,0.49,0.744,998,1004,No,
l_brachial_index,L brachial index,Cardiovascular,continuous,0.023,-0.065,0.11,0.974168,0.975199,,0.508,0.753,998,1004,No,
q_mv_aVL,Q mV aVL,Cardiovascular,continuous,0.088,-0.047,0.224,-0.12569,-0.109976,,0.514,0.753,420,416,No,
automorph_vein_tortuosity_density,Automorph vein tortuosity density,Cardiovascular,continuous,-0.045,-0.159,0.069,0.705439,0.704136,,0.51,0.753,590,594,No,
automorph_vein_squared_curvature_tortuosity,Automorph vein squared curvature tortuosity,Cardiovascular,continuous,0.083,-0.031,0.197,13.6708,14.5274,,0.506,0.753,590,594,No,
r_mv_V4,R mV V4,Cardiovascular,continuous,-0.04,-0.127,0.046,0.905521,0.889037,,0.524,0.761,1018,1018,No,
r_mv_V5,R mV V5,Cardiovascular,continuous,-0.037,-0.124,0.05,0.999007,0.983743,,0.529,0.761,1017,1018,No,
lying_blood_pressure_diastolic,Lying blood pressure diastolic,Cardiovascular,continuous,0.058,-0.108,0.224,72.692,73.2458,,0.544,0.776,263,297,No,
t_mv_V3,T mV V3,Cardiovascular,continuous,-0.043,-0.13,0.044,0.316653,0.308567,,0.55,0.776,1010,1012,No,
r_ms_V3,R ms V3,Cardiovascular,continuous,0.008,-0.079,0.095,42.4877,42.5624,,0.554,0.776,1017,1017,No,
q_ms_III,Q ms III,Cardiovascular,continuous,0.037,-0.123,0.197,20.2055,20.6948,,0.558,0.776,292,308,No,
automorph_distance_tortuosity,Automorph distance tortuosity,Cardiovascular,continuous,0.019,-0.095,0.133,2.86793,2.87936,,0.573,0.789,590,594,No,
automorph_cup_width,Automorph cup width,Cardiovascular,continuous,-0.211,-0.519,0.098,207719.0,194233.0,,0.579,0.792,70,96,No,
r_mv_aVL,R mV aVL,Cardiovascular,continuous,-0.005,-0.096,0.086,0.254913,0.253861,,0.603,0.818,922,935,No,
intima_media_th_1_fit,Intima media th 1 fit,Cardiovascular,continuous,-0.034,-0.281,0.214,90.1124,89.7723,,0.634,0.838,113,141,No,
q_ms_V6,Q ms V6,Cardiovascular,continuous,-0.182,-0.357,-0.008,14.5469,13.264,,0.634,0.838,256,250,No,
j_mv_V1,J mV V1,Cardiovascular,continuous,0.047,-0.04,0.134,0.0176228,0.022554,,0.632,0.838,1018,1018,No,
q_mv_V6,Q mV V6,Cardiovascular,continuous,0.129,-0.045,0.304,-0.10332,-0.08564,,0.691,0.878,256,250,No,
t_mv_V6,T mV V6,Cardiovascular,continuous,-0.003,-0.091,0.084,0.238123,0.237552,,0.693,0.878,1007,1009,No,
st_mv_III,ST mV III,Cardiovascular,continuous,0.035,-0.052,0.122,0.00040275,0.0047053,,0.691,0.878,1018,1018,No,
t_mv_V2,T mV V2,Cardiovascular,continuous,-0.013,-0.1,0.075,0.277294,0.27497,,0.696,0.878,1005,1010,No,
st_mv_II,ST mV II,Cardiovascular,continuous,-0.063,-0.149,0.024,0.0163065,0.011778,,0.671,0.878,1018,1018,No,
automorph_cup_height,Automorph cup height,Cardiovascular,continuous,-0.076,-0.384,0.233,210539.0,205968.0,,0.677,0.878,70,96,No,
sitting_blood_pressure_diastolic,Sitting blood pressure diastolic,Cardiovascular,continuous,-0.008,-0.094,0.078,67.2852,67.1998,,0.716,0.883,1031,1031,No,
q_ms_II,Q ms II,Cardiovascular,continuous,-0.129,-0.299,0.041,14.6667,13.8885,,0.708,0.883,261,269,No,
st_mv_aVF,ST mV aVF,Cardiovascular,continuous,-0.014,-0.101,0.073,0.00777996,0.006778,,0.715,0.883,1018,1018,No,
automorph_vessel_density,Automorph vessel density,Cardiovascular,continuous,-0.041,-0.155,0.073,0.0764501,0.0761478,,0.723,0.885,590,594,No,
r_mv_III,R mV III,Cardiovascular,continuous,-0.027,-0.115,0.061,0.39898,0.390636,,0.737,0.895,990,990,No,
r_brachial_pressure,R brachial pressure,Cardiovascular,continuous,0.018,-0.07,0.105,109.201,109.562,,0.767,0.902,1005,1007,No,
r_mv_I,R mV i,Cardiovascular,continuous,-0.009,-0.096,0.078,0.529321,0.52708,,0.776,0.902,1016,1017,No,
r_mv_aVR,R mV aVR,Cardiovascular,continuous,-0.026,-0.127,0.076,0.0900132,0.0881004,,0.781,0.902,755,737,No,
s_mv_V6,S mV V6,Cardiovascular,continuous,0.011,-0.097,0.119,-0.204205,-0.202656,,0.779,0.902,654,659,No,
automorph_artery_fractal_dimension,Automorph artery fractal dimension,Cardiovascular,continuous,-0.032,-0.146,0.082,1.33691,1.33599,,0.762,0.902,590,594,No,
automorph_vein_vessel_density,Automorph vein vessel density,Cardiovascular,continuous,-0.014,-0.128,0.1,0.0456764,0.0455993,,0.772,0.902,590,594,No,
automorph_artery_vessel_density,Automorph artery vessel density,Cardiovascular,continuous,-0.026,-0.14,0.088,0.037239,0.0371017,,0.748,0.902,590,594,No,
qrs_ms,Qrs ms,Cardiovascular,continuous,-0.001,-0.088,0.086,93.8446,93.8348,,0.79,0.906,1017,1017,No,ms
r_ms_I,R ms i,Cardiovascular,continuous,-0.017,-0.104,0.07,45.3287,45.1544,,0.803,0.915,1016,1017,No,
s_mv_III,S mV III,Cardiovascular,continuous,-0.008,-0.129,0.114,-0.245315,-0.247022,,0.841,0.924,540,497,No,
st_mv_aVR,ST mV aVR,Cardiovascular,continuous,0.077,-0.01,0.164,-0.01778,-0.00990177,,0.832,0.924,1018,1018,No,
p_mv_V5,P mV V5,Cardiovascular,continuous,-0.015,-0.106,0.076,0.080432,0.0791407,,0.83,0.924,926,931,No,
r_ms_III,R ms III,Cardiovascular,continuous,-0.0,-0.088,0.088,40.3091,40.3051,,0.838,0.924,990,990,No,
t_mv_II,T mV II,Cardiovascular,continuous,-0.02,-0.107,0.067,0.232148,0.230178,,0.837,0.924,1015,1013,No,
automorph_artery_average_width,Automorph artery average width,Cardiovascular,continuous,-0.019,-0.132,0.095,18854.0,18826.9,,0.845,0.924,590,594,No,
from_r_thigh_to_r_ankle_distance,From r thigh to r ankle distance,Cardiovascular,continuous,-0.096,-0.263,0.07,46.6145,43.2189,,0.863,0.932,262,297,No,
t_mv_V5,T mV V5,Cardiovascular,continuous,-0.039,-0.126,0.048,0.27143,0.265509,,0.859,0.932,1007,1011,No,
from_l_thigh_to_l_ankle_distance,From l thigh to l ankle distance,Cardiovascular,continuous,-0.07,-0.236,0.096,43.4122,42.9899,,0.883,0.937,262,297,No,
s_mv_V1,S mV V1,Cardiovascular,continuous,-0.012,-0.102,0.078,-0.653109,-0.656599,,0.875,0.937,952,938,No,
t_mv_V4,T mV V4,Cardiovascular,continuous,-0.019,-0.107,0.068,0.262726,0.259513,,0.888,0.937,1005,1006,No,
qtc_ms,Qtc ms,Cardiovascular,continuous,0.011,-0.076,0.098,422.61,422.843,,0.891,0.937,1017,1017,No,ms
r_ms_V1,R ms V1,Cardiovascular,continuous,0.001,-0.089,0.091,22.8977,22.9051,,0.903,0.943,958,948,No,
s_mv_aVL,S mV aVL,Cardiovascular,continuous,-0.014,-0.149,0.12,-0.1988,-0.200791,,0.919,0.954,400,455,No,
automorph_average_width,Automorph average width,Cardiovascular,continuous,0.003,-0.111,0.116,17382.6,17385.5,,0.927,0.956,590,594,No,
q_ms_aVR,Q ms aVR,Cardiovascular,continuous,-0.016,-0.126,0.094,45.4662,45.3188,,0.955,0.979,622,643,No,
r_mv_V6,R mV V6,Cardiovascular,continuous,-0.01,-0.096,0.077,0.913892,0.910393,,0.971,0.982,1015,1018,No,
p_mv_V1,P mV V1,Cardiovascular,continuous,0.016,-0.077,0.11,0.0694573,0.0707892,,0.976,0.982,866,887,No,
st_mv_I,ST mV i,Cardiovascular,continuous,-0.078,-0.165,0.009,0.0151473,0.00517682,,0.971,0.982,1018,1018,No,
automorph_artery_tortuosity_density,Automorph artery tortuosity density,Cardiovascular,continuous,-0.019,-0.132,0.095,0.708529,0.707787,,1.0,1.0,590,594,No,
Apple,Apple,Diet (food frequency),continuous,0.113,0.02,0.206,20.9794,25.5105,,0.00022,0.07,896,897,No,
Beer,Beer,Diet (food frequency),continuous,0.16,0.067,0.253,5.28126,9.85175,,0.001,0.132,896,897,No,
Cashew,Cashew,Diet (food frequency),continuous,0.07,-0.022,0.163,1.02852,1.29053,,0.001,0.132,896,897,No,
Cucumber,Cucumber,Diet (food frequency),continuous,0.125,0.032,0.217,18.8336,23.0018,,0.002,0.132,896,897,No,
Cottage cheese,Cottage cheese,Diet (food frequency),continuous,0.172,0.08,0.265,9.09128,13.9559,,0.004,0.179,896,897,No,
Israeli couscous,Israeli couscous,Diet (food frequency),continuous,-0.142,-0.235,-0.05,1.44809,0.629631,,0.004,0.179,896,897,No,
Roll,Roll,Diet (food frequency),continuous,-0.095,-0.188,-0.003,4.82882,3.73137,,0.003,0.179,896,897,No,
Whiskey,Whiskey,Diet (food frequency),continuous,0.122,0.03,0.215,0.0771377,0.204268,,0.005,0.187,896,897,No,
Strawberry,Strawberry,Diet (food frequency),continuous,0.122,0.029,0.214,2.1367,3.50404,,0.006,0.207,896,897,No,
Baguette,Baguette,Diet (food frequency),continuous,-0.124,-0.216,-0.031,1.36737,0.602095,,0.008,0.208,896,897,No,
Hamburger,Hamburger,Diet (food frequency),continuous,0.122,0.029,0.214,1.64526,2.51628,,0.008,0.208,896,897,No,
Natural Yogurt,Natural Yogurt,Diet (food frequency),continuous,0.049,-0.043,0.142,14.5115,16.3757,,0.007,0.208,896,897,No,
Small radish,Small radish,Diet (food frequency),continuous,0.076,-0.016,0.169,0.48553,0.782703,,0.01,0.228,896,897,No,
Tahini,Tahini,Diet (food frequency),continuous,0.109,0.016,0.202,6.15124,7.29336,,0.013,0.293,896,897,No,
Carrots,Carrots,Diet (food frequency),continuous,0.07,-0.023,0.162,4.27928,5.11021,,0.014,0.299,896,897,No,
Cappuccino,Cappuccino,Diet (food frequency),continuous,0.077,-0.016,0.169,55.9678,65.0944,,0.018,0.299,896,897,No,
Grilled vegetables,Grilled vegetables,Diet (food frequency),continuous,0.098,0.005,0.19,4.83326,7.01812,,0.018,0.299,896,897,No,
Parsley,Parsley,Diet (food frequency),continuous,0.022,-0.07,0.115,0.346695,0.393496,,0.017,0.299,896,897,No,
Spinach,Spinach,Diet (food frequency),continuous,0.072,-0.021,0.164,0.865312,1.22881,,0.017,0.299,896,897,No,
Pepper,Pepper,Diet (food frequency),continuous,0.051,-0.042,0.143,7.79282,8.86309,,0.021,0.33,896,897,No,
Lemonade,Lemonade,Diet (food frequency),continuous,-0.077,-0.17,0.015,0.792653,0.345437,,0.027,0.4,896,897,No,
Vodka or Arak,Vodka or Arak,Diet (food frequency),continuous,0.058,-0.035,0.15,0.104273,0.234043,,0.03,0.429,896,897,No,
Vegetable Soup,Vegetable Soup,Diet (food frequency),continuous,0.063,-0.03,0.156,13.6737,16.2471,,0.034,0.454,896,897,No,
Celery,Celery,Diet (food frequency),continuous,0.054,-0.039,0.146,0.758981,1.04796,,0.036,0.469,896,897,No,
Banana,Banana,Diet (food frequency),continuous,0.065,-0.028,0.157,16.9424,18.8078,,0.042,0.471,896,897,No,
Pumpkin seeds,Pumpkin seeds,Diet (food frequency),continuous,0.092,-0.001,0.184,0.163363,0.293511,,0.038,0.471,896,897,No,
Wholemeal Bread,Wholemeal Bread,Diet (food frequency),continuous,0.06,-0.033,0.153,4.21012,4.85095,,0.041,0.471,896,897,No,
Wine,Wine,Diet (food frequency),continuous,0.141,0.048,0.233,11.9702,17.1334,,0.041,0.471,896,897,No,
Cereal Bar,Cereal Bar,Diet (food frequency),continuous,0.065,-0.028,0.158,0.076233,0.137094,,0.064,0.48,896,897,No,
Cherry tomatoes,Cherry tomatoes,Diet (food frequency),continuous,0.143,0.05,0.235,9.25354,12.7654,,0.063,0.48,896,897,No,
Ciabatta,Ciabatta,Diet (food frequency),continuous,-0.105,-0.197,-0.012,1.58846,1.09989,,0.065,0.48,896,897,No,
Garlic,Garlic,Diet (food frequency),continuous,0.047,-0.045,0.14,0.0798559,0.105768,,0.052,0.48,896,897,No,
Hummus Salad,Hummus Salad,Diet (food frequency),continuous,0.061,-0.032,0.154,3.37174,3.98501,,0.051,0.48,896,897,No,
Lemon juice,Lemon juice,Diet (food frequency),continuous,-0.02,-0.113,0.072,1.04479,0.936181,,0.063,0.48,896,897,No,
Oatmeal Cereal,Oatmeal Cereal,Diet (food frequency),continuous,0.042,-0.05,0.135,3.0686,3.83416,,0.061,0.48,896,897,No,
Pea soup,Pea soup,Diet (food frequency),continuous,0.093,0.001,0.186,1.61764,2.73212,,0.056,0.48,896,897,No,
Peanuts,Peanuts,Diet (food frequency),continuous,-0.002,-0.095,0.09,0.440172,0.435719,,0.047,0.48,896,897,No,
Salmon,Salmon,Diet (food frequency),continuous,0.09,-0.002,0.183,9.12435,10.8838,,0.051,0.48,896,897,No,
Soda water,Soda water,Diet (food frequency),continuous,0.088,-0.004,0.181,0.247422,1.55466,,0.058,0.48,896,897,No,
Tabbouleh Salad,Tabbouleh Salad,Diet (food frequency),continuous,0.002,-0.091,0.095,0.602014,0.608927,,0.059,0.48,896,897,No,
Tea,Tea,Diet (food frequency),continuous,0.053,-0.039,0.146,33.1128,38.8117,,0.063,0.48,896,897,No,
Tomato sauce,Tomato sauce,Diet (food frequency),continuous,-0.046,-0.139,0.046,0.722337,0.59232,,0.049,0.48,896,897,No,
Chia seeds,Chia seeds,Diet (food frequency),continuous,0.096,0.003,0.188,0.494319,0.695459,,0.067,0.485,896,897,No,
Halva,Halva,Diet (food frequency),continuous,0.124,0.031,0.217,0.144743,0.347981,,0.069,0.489,896,897,No,
Almonds,Almonds,Diet (food frequency),continuous,0.061,-0.032,0.153,1.42958,1.65049,,0.071,0.494,896,897,No,
Bread,Bread,Diet (food frequency),continuous,0.043,-0.05,0.136,8.25346,8.88812,,0.086,0.505,896,897,No,
Egg,Egg,Diet (food frequency),continuous,0.089,-0.004,0.181,11.9348,13.6401,,0.093,0.505,896,897,No,
Granola,Granola,Diet (food frequency),continuous,0.047,-0.046,0.139,1.82171,2.10343,,0.092,0.505,896,897,No,
Lettuce,Lettuce,Diet (food frequency),continuous,0.09,-0.002,0.183,5.10783,6.86562,,0.086,0.505,896,897,No,
Lettuce Salad,Lettuce Salad,Diet (food frequency),continuous,0.093,0.001,0.186,4.91319,6.19096,,0.075,0.505,896,897,No,
Oatmeal,Oatmeal,Diet (food frequency),continuous,0.023,-0.069,0.116,1.77242,1.93586,,0.084,0.505,896,897,No,
Pasta Bolognese,Pasta Bolognese,Diet (food frequency),continuous,-0.071,-0.164,0.021,2.30591,1.63358,,0.09,0.505,896,897,No,
Pickled cucumber,Pickled cucumber,Diet (food frequency),continuous,0.084,-0.009,0.176,1.43473,1.97886,,0.088,0.505,896,897,No,
Pistachio,Pistachio,Diet (food frequency),continuous,-0.003,-0.095,0.09,0.470717,0.462105,,0.082,0.505,896,897,No,
Sweet potato,Sweet potato,Diet (food frequency),continuous,0.091,-0.002,0.183,3.78745,4.72134,,0.079,0.505,896,897,No,
Tilapia,Tilapia,Diet (food frequency),continuous,0.041,-0.051,0.134,1.4618,1.76699,,0.088,0.505,896,897,No,
ginger,Ginger,Diet (food frequency),continuous,-0.048,-0.14,0.045,0.0611633,0.028676,,0.084,0.505,896,897,No,
Walnuts,Walnuts,Diet (food frequency),continuous,0.12,0.027,0.212,1.86623,2.46228,,0.095,0.509,896,897,No,
Chestnuts,Chestnuts,Diet (food frequency),continuous,0.049,-0.044,0.142,0.103477,0.155308,,0.099,0.521,896,897,No,
Chocolate cake,Chocolate cake,Diet (food frequency),continuous,-0.017,-0.11,0.075,1.19129,1.12884,,0.102,0.529,896,897,No,
Majadra,Majadra,Diet (food frequency),continuous,-0.007,-0.1,0.085,1.6539,1.5966,,0.107,0.546,896,897,No,
Potato salad,Potato salad,Diet (food frequency),continuous,-0.051,-0.144,0.042,0.373942,0.198052,,0.109,0.549,896,897,No,
Chicken Steak,Chicken Steak,Diet (food frequency),continuous,0.063,-0.029,0.156,2.13407,2.8185,,0.113,0.551,896,897,No,
Quinoa,Quinoa,Diet (food frequency),continuous,0.128,0.035,0.221,3.47372,5.35126,,0.113,0.551,896,897,No,
Cereals,Cereals,Diet (food frequency),continuous,0.011,-0.082,0.103,1.30616,1.37341,,0.123,0.58,896,897,No,
Labneh Cheese,Labneh Cheese,Diet (food frequency),continuous,0.051,-0.041,0.144,0.888293,1.15355,,0.121,0.58,896,897,No,
Eggplant Salad,Eggplant Salad,Diet (food frequency),continuous,-0.089,-0.182,0.003,1.59855,1.1331,,0.126,0.583,896,897,No,
Flax seeds,Flax seeds,Diet (food frequency),continuous,0.021,-0.071,0.114,0.197411,0.221708,,0.132,0.598,896,897,No,
Parmesan cheese,Parmesan cheese,Diet (food frequency),continuous,-0.019,-0.111,0.074,0.0571923,0.0493152,,0.133,0.598,896,897,No,
Beet,Beet,Diet (food frequency),continuous,0.105,0.013,0.198,2.17655,3.22541,,0.138,0.606,896,897,No,
Coke,Coke,Diet (food frequency),continuous,-0.017,-0.11,0.076,1.90542,1.68766,,0.137,0.606,896,897,No,
Gilthead Bream,Gilthead Bream,Diet (food frequency),continuous,0.082,-0.01,0.175,1.50434,2.40513,,0.145,0.618,896,897,No,
Tuna Sandwich,Tuna Sandwich,Diet (food frequency),continuous,0.052,-0.04,0.145,0.439399,0.728009,,0.145,0.618,896,897,No,
Shrimp,Shrimp,Diet (food frequency),continuous,0.043,-0.049,0.136,0.514313,0.644384,,0.149,0.626,896,897,No,
Cuba,Cuba,Diet (food frequency),continuous,-0.057,-0.149,0.036,1.25562,0.903945,,0.152,0.629,896,897,No,
Artichoke,Artichoke,Diet (food frequency),continuous,-0.084,-0.176,0.009,1.6999,1.10254,,0.16,0.641,896,897,No,
Brownies,Brownies,Diet (food frequency),continuous,0.081,-0.012,0.173,0.206244,0.334561,,0.185,0.641,896,897,No,
Chicken Liver,Chicken Liver,Diet (food frequency),continuous,0.007,-0.086,0.099,0.778329,0.808545,,0.171,0.641,896,897,No,
Chicken breast,Chicken breast,Diet (food frequency),continuous,0.063,-0.029,0.156,8.59502,9.86971,,0.181,0.641,896,897,No,
Chocolate,Chocolate,Diet (food frequency),continuous,-0.103,-0.195,-0.01,1.67563,1.2944,,0.173,0.641,896,897,No,
Egg Salad,Egg Salad,Diet (food frequency),continuous,-0.041,-0.134,0.052,0.688912,0.566721,,0.184,0.641,896,897,No,
Fruit Drink,Fruit Drink,Diet (food frequency),continuous,-0.081,-0.174,0.011,0.576115,0.253362,,0.171,0.641,896,897,No,
Hummus,Hummus,Diet (food frequency),continuous,0.016,-0.076,0.109,2.07086,2.22044,,0.178,0.641,896,897,No,
Lentils,Lentils,Diet (food frequency),continuous,0.067,-0.025,0.16,3.23325,4.00679,,0.184,0.641,896,897,No,
Orange,Orange,Diet (food frequency),continuous,0.045,-0.047,0.138,4.0791,4.79547,,0.174,0.641,896,897,No,
Potatoes,Potatoes,Diet (food frequency),continuous,-0.113,-0.206,-0.021,15.2881,12.6296,,0.184,0.641,896,897,No,
Raisins,Raisins,Diet (food frequency),continuous,0.058,-0.034,0.151,0.219718,0.296925,,0.176,0.641,896,897,No,
Sweet Potato Soup,Sweet Potato Soup,Diet (food frequency),continuous,0.054,-0.038,0.147,0.756543,1.14156,,0.177,0.641,896,897,No,
Tomatoes Salad,Tomatoes Salad,Diet (food frequency),continuous,0.005,-0.087,0.098,0.489463,0.504354,,0.184,0.641,896,897,No,
